Var1	Var2	semsimValue	type
H90A1	ATPase activity	NA	protein-term
CRNS1	ATPase activity	NA	protein-term
RAD50.16.22.m.50235	ATPase activity	NA	protein-term
FAU1	nuclease activity	NA	protein-term
MANA	hydrolase activity, acting on glyco...	NA	protein-term
FLNA.2.5.m.37450	enzyme binding	NA	protein-term
FAU1	RNA binding	NA	protein-term
UNC22.2.7.m.2274	cellular protein modification proce...	NA	protein-term
UNC22.3.7.m.20773	cellular protein modification proce...	NA	protein-term
UNC22.7.7.m.54053	cellular protein modification proce...	NA	protein-term
UNC22.5.7.m.43551	cellular protein modification proce...	NA	protein-term
SIDF	secondary metabolic process	NA	protein-term
SIDF	cellular nitrogen compound metaboli...	NA	protein-term
SIDF	cofactor metabolic process	NA	protein-term
TBA1	immune system process	NA	protein-term
UNC22.5.7.m.43551	enzyme binding	NA	protein-term
UNC22.2.7.m.2274	enzyme binding	NA	protein-term
UNC22.3.7.m.20773	enzyme binding	NA	protein-term
UNC22.7.7.m.54053	enzyme binding	NA	protein-term
PPR32	enzyme binding	NA	protein-term
FLNA.2.5.m.37450	cell morphogenesis	NA	protein-term
FLNA.2.5.m.37450	anatomical structure development	NA	protein-term
FAT4.1.1.m.65727	cell differentiation	NA	protein-term
FAT4.1.1.m.34344	cell differentiation	NA	protein-term
ANM1	cell differentiation	NA	protein-term
PGBM	structural molecule activity	NA	protein-term
COR1B	cytoskeleton organization	NA	protein-term
SPTN5	cytoskeleton organization	NA	protein-term
SSPO.7.8.m.41875	cell differentiation	NA	protein-term
CENPF	cell differentiation	NA	protein-term
SSPO.3.8.m.32060	cell differentiation	NA	protein-term
SSPO.6.8.m.41866	cell differentiation	NA	protein-term
PGBM	cell differentiation	NA	protein-term
CDPK3	cell differentiation	NA	protein-term
PGBM	extracellular matrix organization	NA	protein-term
MATN1	extracellular matrix organization	NA	protein-term
H90A1	enzyme regulator activity	NA	protein-term
TITIN.m.27774	protein-containing complex assembly	NA	protein-term
TITIN.m.27774	cytoskeleton organization	NA	protein-term
TITIN.m.27774	anatomical structure formation invo...	NA	protein-term
TITIN.m.27774	cellular component assembly	NA	protein-term
TITIN.8.19.m.35861	protein-containing complex assembly	NA	protein-term
TITIN.8.19.m.35861	cytoskeleton organization	NA	protein-term
TITIN.8.19.m.35861	cellular component assembly	NA	protein-term
H90A1	protein-containing complex assembly	NA	protein-term
DYH5.2.2.m.61452	locomotion	NA	protein-term
DYH5.2.2.m.61452	cell motility	NA	protein-term
DYH5.1.2.m.56799	locomotion	NA	protein-term
DYH5.1.2.m.56799	cell motility	NA	protein-term
DYH1	locomotion	NA	protein-term
DYH1	cell motility	NA	protein-term
TEKT1	locomotion	NA	protein-term
TEKT1	cell motility	NA	protein-term
TLP	anatomical structure formation invo...	NA	protein-term
TLP	cell differentiation	NA	protein-term
TLP	reproduction	NA	protein-term
TITIN.8.19.m.35861	cytoskeletal protein binding	NA	protein-term
HTS	cytoskeletal protein binding	NA	protein-term
CRB	cytoskeletal protein binding	NA	protein-term
DAPLE	cytoskeleton-dependent intracellula...	NA	protein-term
DAPLE	transport	NA	protein-term
FLNA.2.6.m.11845	anatomical structure development	NA	protein-term
SPTCA	cell proliferation	NA	protein-term
DMBT1	cell differentiation	NA	protein-term
DAPLE	response to stress	NA	protein-term
DAPLE	cytoskeleton organization	NA	protein-term
TITIN.m.27774	cytoskeletal protein binding	NA	protein-term
FLNA.2.5.m.37450	cytoskeleton organization	NA	protein-term
LAMA	cell adhesion	NA	protein-term
FLNA.2.5.m.37450	cell junction organization	NA	protein-term
FLNA.2.5.m.37450	cellular component assembly	NA	protein-term
CRB	cell junction organization	NA	protein-term
LAMA	cell morphogenesis	NA	protein-term
LAMA	growth	NA	protein-term
CRB	transport	NA	protein-term
LAMA	immune system process	NA	protein-term
LAMA	response to stress	NA	protein-term
LAMA	secondary metabolic process	NA	protein-term
DMBT1	enzyme binding	NA	protein-term
CRNS1	biosynthetic process	NA	protein-term
CRNS1	cellular nitrogen compound metaboli...	NA	protein-term
HSPB1	signal transduction	NA	protein-term
CDPK3	signal transduction	NA	protein-term
IFT74	cytoskeleton-dependent intracellula...	NA	protein-term
IFT74	transport	NA	protein-term
DYH5.2.2.m.61452	cellular component assembly	NA	protein-term
DYH5.2.2.m.61452	protein-containing complex assembly	NA	protein-term
DYH5.1.2.m.56799	cellular component assembly	NA	protein-term
DYH5.1.2.m.56799	protein-containing complex assembly	NA	protein-term
DYH7.2.3.m.32353	cellular component assembly	NA	protein-term
DYH7.2.3.m.32353	protein-containing complex assembly	NA	protein-term
DYH1	protein-containing complex assembly	NA	protein-term
DYH7.2.2.m.46648	cellular component assembly	NA	protein-term
DYH7.2.2.m.46648	protein-containing complex assembly	NA	protein-term
PPIB	protein folding	NA	protein-term
COR1B	response to stress	NA	protein-term
ASNS	response to stress	NA	protein-term
OBG	ribosome biogenesis	NA	protein-term
CATA.3.3.m.21642	catabolic process	NA	protein-term
CATA.1.3.m.11120	catabolic process	NA	protein-term
FLNA.2.5.m.37450	cellular nitrogen compound metaboli...	NA	protein-term
FLNA.2.5.m.37450	biosynthetic process	NA	protein-term
TITIN.8.19.m.35861	locomotion	NA	protein-term
FLNA.2.5.m.37450	membrane organization	NA	protein-term
HSPB1	ubiquitin-like protein binding	NA	protein-term
DMBT1	response to stress	NA	protein-term
DMBT1	immune system process	NA	protein-term
DMBT1	cellular protein modification proce...	NA	protein-term
DMBT1	translation	NA	protein-term
PGBM	cellular protein modification proce...	NA	protein-term
PGBM	translation	NA	protein-term
FLNA.2.5.m.37450	locomotion	NA	protein-term
FLNA.2.5.m.37450	cell motility	NA	protein-term
CRB	cellular component assembly	NA	protein-term
HTS	cytoskeleton organization	NA	protein-term
UNC22.7.7.m.54053	cytoskeleton organization	NA	protein-term
UNC22.3.7.m.20773	cytoskeleton organization	NA	protein-term
UNC22.2.7.m.2274	cytoskeleton organization	NA	protein-term
UNC22.5.7.m.43551	cytoskeleton organization	NA	protein-term
FLNA.2.6.m.11845	cytoskeleton organization	NA	protein-term
CRB	homeostatic process	NA	protein-term
CATA.1.3.m.11120	ion binding	NA	protein-term
TYRO	ion binding	NA	protein-term
CNDP2	ion binding	NA	protein-term
UNC22.3.7.m.20773	ion binding	NA	protein-term
UNC22.5.7.m.43551	ion binding	NA	protein-term
UNC22.2.7.m.2274	ion binding	NA	protein-term
CATA.3.3.m.21642	ion binding	NA	protein-term
PCKG	ion binding	NA	protein-term
CRNS1	ion binding	NA	protein-term
FUMA	ion binding	NA	protein-term
UNC22.7.7.m.54053	ion binding	NA	protein-term
XRN2	ion binding	NA	protein-term
ATPB	transmembrane transporter activity	NA	protein-term
ATPB	ATPase activity	NA	protein-term
ATPD	ATPase activity	NA	protein-term
CRNS1	ligase activity	NA	protein-term
HTS	cell proliferation	NA	protein-term
IFT74	cytoskeletal protein binding	NA	protein-term
TITIN.m.27774	anatomical structure development	NA	protein-term
EF2.4.5.m.30186	response to stress	NA	protein-term
EF2.5.5.m.39855	response to stress	NA	protein-term
H90A1	cell motility	NA	protein-term
H90A1	locomotion	NA	protein-term
H90A1	immune system process	NA	protein-term
UNC22.5.7.m.43551	cytoskeletal protein binding	NA	protein-term
ARP3	cytoskeletal protein binding	NA	protein-term
GELS2	cytoskeletal protein binding	NA	protein-term
UNC22.2.7.m.2274	cytoskeletal protein binding	NA	protein-term
FLNA.2.5.m.37450	cytoskeletal protein binding	NA	protein-term
MYS.4.7.m.18188	cytoskeletal protein binding	NA	protein-term
UNC22.3.7.m.20773	cytoskeletal protein binding	NA	protein-term
MYS.7.7.m.44342	cytoskeletal protein binding	NA	protein-term
UNC22.7.7.m.54053	cytoskeletal protein binding	NA	protein-term
HTS	cellular component assembly	NA	protein-term
COR1B	cellular component assembly	NA	protein-term
H90A1	unfolded protein binding	NA	protein-term
CALR	unfolded protein binding	NA	protein-term
PPIB	unfolded protein binding	NA	protein-term
TCPD	unfolded protein binding	NA	protein-term
ANM1	cellular component assembly	NA	protein-term
ANM1	protein-containing complex assembly	NA	protein-term
SPTN5	cellular component assembly	NA	protein-term
SPTN5	protein-containing complex assembly	NA	protein-term
DAPLE	cellular component assembly	NA	protein-term
DAPLE	protein-containing complex assembly	NA	protein-term
SNO1	cellular component assembly	NA	protein-term
SNO1	protein-containing complex assembly	NA	protein-term
CRB	cell division	NA	protein-term
CENPF	cell division	NA	protein-term
HMCN1	cell division	NA	protein-term
CENPF	cellular component assembly	NA	protein-term
CENPF	protein-containing complex assembly	NA	protein-term
CENPF	chromosome organization	NA	protein-term
FLNA.2.5.m.37450	immune system process	NA	protein-term
FLNA.2.5.m.37450	response to stress	NA	protein-term
FLNA.2.5.m.37450	symbiont process	NA	protein-term
IFT74	cellular component assembly	NA	protein-term
TEKT1	cellular component assembly	NA	protein-term
ARP3	cellular component assembly	NA	protein-term
CFA57	cell motility	NA	protein-term
CFA57	locomotion	NA	protein-term
DYH6	cell motility	NA	protein-term
DYH6	locomotion	NA	protein-term
DYH7.2.2.m.46648	cell motility	NA	protein-term
DYH7.2.2.m.46648	locomotion	NA	protein-term
TITIN.8.19.m.35861	growth	NA	protein-term
CRB	membrane organization	NA	protein-term
HSPB1	protein folding	NA	protein-term
CRB	cell morphogenesis	NA	protein-term
MATN1	protein-containing complex assembly	NA	protein-term
MATN1	cellular component assembly	NA	protein-term
HSPB1	cell adhesion	NA	protein-term
FLNA.2.5.m.37450	cell adhesion	NA	protein-term
COR1B	signal transduction	NA	protein-term
ASNS	biosynthetic process	NA	protein-term
UNC22.2.7.m.2274	protein-containing complex assembly	NA	protein-term
UNC22.2.7.m.2274	anatomical structure formation invo...	NA	protein-term
UNC22.2.7.m.2274	cellular component assembly	NA	protein-term
UNC22.7.7.m.54053	protein-containing complex assembly	NA	protein-term
UNC22.7.7.m.54053	anatomical structure formation invo...	NA	protein-term
UNC22.7.7.m.54053	cellular component assembly	NA	protein-term
UNC22.3.7.m.20773	protein-containing complex assembly	NA	protein-term
UNC22.3.7.m.20773	anatomical structure formation invo...	NA	protein-term
UNC22.3.7.m.20773	cellular component assembly	NA	protein-term
UNC22.5.7.m.43551	protein-containing complex assembly	NA	protein-term
UNC22.5.7.m.43551	anatomical structure formation invo...	NA	protein-term
UNC22.5.7.m.43551	cellular component assembly	NA	protein-term
CENPF	DNA metabolic process	NA	protein-term
CENPF	biosynthetic process	NA	protein-term
CENPF	cellular nitrogen compound metaboli...	NA	protein-term
FAT4.1.1.m.65727	cell proliferation	NA	protein-term
FAT4.1.1.m.34344	cell proliferation	NA	protein-term
FLNA.2.5.m.37450	plasma membrane organization	NA	protein-term
ZAN	cell adhesion	NA	protein-term
PIDD1	transmembrane transport	NA	protein-term
PIDD1	transport	NA	protein-term
CRB	chromosome segregation	NA	protein-term
HSPB1	transport	NA	protein-term
HSPB1	cytoskeleton-dependent intracellula...	NA	protein-term
HYDIN.2.6.m.7640	cellular component assembly	NA	protein-term
HYDIN.4.6.m.27594	cellular component assembly	NA	protein-term
