protein_ID,ASCA_PC1_loadings,ASCA_PC2_loadings,ASCA_PC_threshold_pass,ClusterID,ClusterColor,Protein_names,Protein_fams,Gene_names,GO_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_contig_026852.m.30581,0.00418370752678731,-0.00113055726883157,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_026871.m.30597,0.00621365285724924,-0.0112807786734251,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_026910.m.30632,0.0130171465043287,-0.0168968107418593,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_026915.m.30635,-0.031427849341888,-0.0200006057419952,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_026949.m.30663,-0.003467491096475,0.00289984269624493,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_027060.m.30790,0.00203927277299013,-0.00162412731352709,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_027196.m.30937,0.00706862460677316,0.0182521970314753,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_027213.m.30953,-0.0276634758803144,-0.0053055096711583,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_027260.m.31007,0.00129253572511705,-0.000277791552587137,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_027327.m.31055,-0.0207827614525805,-0.0132260980864822,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_027342.m.31071,-0.012141178137778,-0.00772661579656287,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_027379.m.31113,-0.019487142641134,-0.0124015694730936,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_027593.m.31285,0.0139146820116353,0.00499406545348226,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_027703.m.31406,-0.0145662098445666,-0.00926989998860814,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_027730.m.31434,0.0013078444771136,0.00629157740953482,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_027976.m.31727,-0.00160347514934218,-0.0262903116485709,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_028013.m.31792,0.00259003172074151,0.00356817501920602,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_028016.m.31798,-0.00211875365045685,0.00712301643526268,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_028143.m.32002,-8.16488478746805e-05,0.0108328373602865,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_028227.m.32131,0.0149507748330804,-0.0229505948505481,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_028345.m.32285,0.0221699533524723,0.00359559360752666,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_028370.m.32304,0.00640085383491887,0.00631946426384387,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_028488.m.32431,0.0010189678006839,0.0203012047235844,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_028566.m.32498,0.00837231932791701,-0.0151998001000786,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_028737.m.32661,0.00945731593058102,-0.0171695925582767,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_029139.m.33073,0.00557097938682511,0.0065791833396999,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_029279.m.33207,0.00474469209734249,0.0220939206288851,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_029445.m.33401,0.00522171640088403,0.00110665697993632,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_029710.m.33698,-0.00975579567861563,0.00399432010591064,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_030340.m.34527,-0.00849436310191567,-0.00540579170984916,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_030366.m.34550,9.1901833323474e-05,0.0209414183381946,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_030528.m.34754,-0.0111166664372916,-0.00707461907936533,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_030621.m.34884,0.0318085959477723,-0.00526885358741016,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_030692.m.34979,0.00464323009920658,0.00471545630096069,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_030744.m.35041,0.0102785851643591,-0.0133177486972152,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_030748.m.35048,-0.00495675340139187,0.00897038158694719,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_030819.m.35130,-0.0126803981848854,-0.00806977410348526,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_030869.m.35200,-0.0216123868538296,0.0246640507172317,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_030888.m.35216,-0.00502061706421435,0.00156696278718144,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_030959.m.35312,0.00630811158859878,0.0037095771047496,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_031003.m.35364,-0.0181827599657161,-0.011571463558307,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_031244.m.35665,-0.0109101185467488,-0.00694317251168431,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_031272.m.35693,0.00722201975951797,-0.00935533398378568,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_031279.m.35700,0.00373981932889497,-0.00101060599942218,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_031433.m.35919,0.00424979998195612,0.00501890445052915,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_031485.m.35969,-0.00653373112249399,-0.00517113198202327,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_031486.m.35972,0.00389161529379377,0.00459589754828384,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_031630.m.36105,-0.0164359436299719,-0.0104597939542298,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_031802.m.36287,0.00496639556383134,-0.00901640475375114,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_031987.m.36469,-9.04412983213541e-05,0.0119993839578989,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_032098.m.36603,0.0153569497431021,-0.00786492731877883,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_032567.m.37185,-0.0136535796190434,-0.00291816350480653,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_032576.m.37192,-0.0066615291879622,0.00896600721586008,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_032616.m.37244,0.0108824052775515,-0.0200811221306554,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_032666.m.37309,0,0,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_032690.m.37333,0.00313712655886349,-0.000847741198843126,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_032916.m.37612,0.00561230629245082,-0.00328786861914913,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_032947.m.37658,-0.0133048657651862,0.0156656809119678,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_033072.m.37776,0.00701176921538922,-0.0127297450380834,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_033090.m.37804,0.0183354769697287,0.00258552327269049,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_033147.m.37856,-0.0111659811628399,-0.00710600284897159,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_033179.m.37880,-0.0249509262526225,0.0109794893216977,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_033285.m.37973,0.0249021030948642,0.0162349090138015,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_033346.m.38026,-0.0141814933693527,-0.00902506737344892,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_033356.m.38032,0.0111033002703257,0.0115432564184368,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_033663.m.38288,0.00410092172426689,-0.00110818618046168,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_033740.m.38360,0.02845874825627,-0.0254056496912467,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_033822.m.38452,0.0322724075118477,-0.0263953808182682,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_033976.m.38613,-0.00720102168716375,0.00805171459293226,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_034345.m.39015,0.00600495416499077,0.00709169638850238,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_034390.m.39050,0.000144142968705546,0.00320818932316753,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_034410.m.39066,0.0097835379910777,0.00857949365697988,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_034686.m.39375,-0.00348923217116704,-0.0170148486323049,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_034695.m.39383,0.00819778520630987,-0.00241698601774633,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_034750.m.39458,0.0307052017638824,0.00844392157567489,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_034847.m.39553,0.0037784036183542,-0.000157818970493801,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_034890.m.39584,0.028527485830439,-0.0240460401214114,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_034934.m.39632,0.00152997466173022,0.0166615414020732,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_034987.m.39710,0.0153702581015491,-0.00618297323353171,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_035123.m.39896,-0.0036379397432845,0.00493878244362167,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_035291.m.40069,0.0162173102456113,0.000323987368001387,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_035372.m.40130,0.010227691259665,0.0341997943925117,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_035380.m.40136,0.0285924405393609,-0.0187618254012581,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_035493.m.40257,0.0117488963139535,0.0079967962137585,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_035545.m.40311,0.00897639961754313,0.0151776745181355,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_035578.m.40341,-0.00909155264408655,-0.0306094072834309,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_035697.m.40446,0.00445763032989383,0.0150109652190473,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_035767.m.40509,-0.00756330530865262,0.0143878515519625,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_035951.m.40680,0.0293643318123346,0.00396593053475322,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_036103.m.40829,0.0163614836133906,-0.0105710247745483,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_036280.m.40985,-0.0176613329694161,0.00140702372169217,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_036283.m.40992,-1.98462842966312e-05,0.0317613473842061,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_036657.m.41264,-0.0194471707568373,0.00135257193247696,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_036790.m.41410,0.0181139121885097,0.0141699396198643,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_036886.m.41498,0.00840929469780811,-0.00121934847139349,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_036899.m.41515,-0.0222962646173307,0.0101001782123272,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_036935.m.41573,-0.00654646209018201,-0.000895642757777532,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_036974.m.41637,0.0096802641943794,-0.0133559737902504,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_037000.m.41674,0.0107891654460179,0.0214468845665486,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_037038.m.41727,0.000957810613422453,0.0240905138031581,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_037467.m.42206,-0.0174544500242824,0.00182450420249003,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_037561.m.42354,-0.00893487167975298,-0.0056861302813959,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_037644.m.42447,-0.000408260539564712,0.0176820765512921,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_037727.m.42549,0.00344131668576505,-0.000929942059413187,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_037785.m.42603,-0.0015941129941278,0.0204881857434727,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_037938.m.42800,-0.000617504273260489,-0.0128040133703209,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_037956.m.42826,0,0,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_037959.m.42830,0.00151099408146787,0.0116449298870126,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_038058.m.42964,0.00263604452204975,0.00740651744616195,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_038126.m.43051,0.00648515817860045,0.00765880497509478,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_038160.m.43103,-0.0294922508056829,-0.0300270610854254,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_038218.m.43194,-0.0238871183589453,0.0159931951097193,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_038370.m.43386,0.00427645177081277,0.00341666513578861,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_038408.m.43447,0.00370749077454704,0.0104454642995606,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_038486.m.43547,0.00263116001165966,-0.0214242082690404,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_038513.m.43619,0.0344944050427701,0.0143214040079496,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_038550.m.43669,-0.00244568537616007,0.0138681259573323,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_038579.m.43695,0.0161372349296011,0.0123816417535132,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_038691.m.43809,-0.00724210069424206,-0.0184987718466811,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_038703.m.43817,-0.00513197638673134,0.000532657548534037,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_038765.m.43871,0.00463770239706365,-0.00125323964978598,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_038766.m.43872,0.0148590012160582,-0.0269762582296418,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_038806.m.43911,0.00332363116562737,0.000858368571033481,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_038817.m.43926,-0.00965055044730695,-0.00614158648242477,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_038859.m.43982,-0.030036134246596,0.0154565241902789,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_038869.m.43996,0.00959816540604344,0.0078916118705875,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_038921.m.44081,-0.00214367461048133,0.00640589409532532,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_038946.m.44119,-0.00972693044992663,-0.0192149232945322,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_039068.m.44246,0.00547823227546251,-0.00148037483015163,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_039097.m.44266,-0.00388357717574163,0.00527225411289684,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_039100.m.44268,-0.000203002905077439,0.0337484553723363,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_039169.m.44357,0.00765532936094185,0.0198238367966002,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_039208.m.44410,0.00741050894990063,0.0136254057706114,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_039283.m.44494,-0.0311446155925615,-0.0198203564830821,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_039285.m.44499,0.00543208043140835,0.000349182553351452,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_039330.m.44540,0.0175925946340102,0.0116032202735999,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_039366.m.44569,0.0158310266102156,0.0144846787814495,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_039465.m.44679,-9.15442894000617e-05,0.0121457243322765,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_039575.m.44801,-0.00159771508548534,0.00784662755171865,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_039595.m.44817,0.00809681655739572,0.00956213205976032,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_039638.m.44850,-9.36876375728011e-05,0.0124300950584551,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_039715.m.44911,0.0152555210188021,0.0131246238760656,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_039741.m.44927,-0.0045089739807216,0.00653031481476711,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_039966.m.45203,0.00341331920167096,0.00316410191967029,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_040048.m.45313,0.00339197849258005,-0.000916609470416663,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_040238.m.45604,0.0139893396383921,-0.00485364888580478,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_040334.m.45722,-5.62989956036937e-05,0.00746952196874076,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_040433.m.45856,-0.014694266060472,0.022178187160446,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_040481.m.45927,0.0106398432244511,-0.0138130657808869,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_040503.m.45959,-0.000104892660845997,0.0139167320153301,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_040623.m.46145,-0.0304023742511764,0.0253588412367227,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_040750.m.46306,-0.00163078569737041,-0.000582433253758573,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_040887.m.46494,0.00369993639051819,0.0135480576472899,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_040962.m.46595,0.00320037486216764,0.00163647000392512,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_040975.m.46616,-0.00201837249584143,-0.000253417942757154,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_040978.m.46621,-0.0184620291470615,-0.0117491897759434,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_041025.m.46710,0.000150489264831652,0.00284649411508087,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_041068.m.46778,0.0177881896790588,-0.0188535800455625,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_041073.m.46786,0.00384069109403742,0.00453575737842127,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_041193.m.46961,0.0179219556620455,-0.018501761333018,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_041218.m.46991,-0.00447281683878185,0.0292366163274841,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_041288.m.47081,-0.0155397114107316,0.0316738688771584,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_041298.m.47095,0.0287207460569662,0.00633170832549466,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_041336.m.47149,-0.0126489867364776,-0.00804978393525726,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_041380.m.47215,0.00358894503329014,0.00423845175696796,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_041554.m.47492,0.00677905822415052,0.0235595754883507,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_041605.m.47590,0.0145084918084414,0.00188678507261491,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_041673.m.47688,-0.0124232069815946,-0.00854134110522057,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_041706.m.47739,-0.0125516286688427,-0.00798782550134135,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_041712.m.47757,0.00293950175601251,0.00212390214691321,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_041717.m.47768,0.00656192906878028,-0.0119130680770594,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_041765.m.47848,0.00206572696333152,-0.000558218426805086,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_041782.m.47874,0.0129303272102684,-0.00604494350770646,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_041876.m.48001,-0.00880356283740243,0.00120194806457255,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_041950.m.48134,-0.00458998916109855,0.008562820945559,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_041958.m.48141,0.00504666884318724,0.00564451185363356,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_042054.m.48295,-0.00692028391980268,0.00342399940480121,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_042130.m.48414,-0.00929196766704239,-0.0059133852862207,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_042244.m.48592,-0.0104364649604965,-0.00722532277433339,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_042249.m.48611,-0.0150598409100152,-0.00958404558013861,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_042362.m.48774,-0.0097303584667135,-0.00619237610897018,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_042378.m.48796,-9.82187270539006e-05,0.0130312615989675,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_042449.m.48875,0,0,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_042540.m.49007,0.00450350773181747,-0.00121697641836718,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_042557.m.49033,0.0319165770692493,0.0147700335476299,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_042616.m.49103,0.00333042064409119,0.00393314110398902,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_042690.m.49166,-0.00876527130414998,0.0116929706130805,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_042766.m.49278,-0.0118607764129426,-0.00754816883104514,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_042815.m.49366,0.0034172259625783,-0.000923432057928665,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_042864.m.49442,-0.00875493742990665,-0.00557162056895873,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_042901.m.49495,0.00903635994034165,-0.0164053542806905,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_043041.m.49677,-0.0190528179590276,-0.0121251663175252,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_043053.m.49693,0.011492957082323,-0.0225432498053007,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_043057.m.49706,0.00627971317122562,-0.00397696247058164,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_043072.m.49721,-0.000598053021213802,0.00148759724747095,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_043212.m.49892,0.00265232172976135,0.00313232373058818,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_043231.m.49931,0.00468436989881015,-0.00542138897956339,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_043238.m.49940,0.00566480807361395,0.00355376278038009,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_043280.m.49983,-0.0035006499261867,-0.0067546161860183,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_043301.m.50018,0.00390086168969902,-0.00876057640918605,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_043488.m.50266,0,0,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_043510.m.50295,0.00797500635109907,0.0300717213589625,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_043576.m.50359,0.0251536443804768,-0.0140838260426998,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_043813.m.50619,-0.000381689833496057,-0.00138639074037391,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_043818.m.50622,0.00102644989231122,-0.00165363709176782,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_043845.m.50665,-0.014487827367422,-0.00922001757363926,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_043862.m.50684,0.00391789109593168,0.0046793314450178,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_043874.m.50696,0.0130051218175813,0.00218367891384661,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_043898.m.50728,-0.00363830595000633,0.00493927959735597,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_043909.m.50738,-0.0124097190957092,-0.00789751459930085,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_044078.m.50900,-0.00193746794202859,0.0193085202686372,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_044225.m.51129,0.00403864311511389,-0.00109135672146632,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_044310.m.51269,-0.00898536353270124,-0.00571826317197377,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_044503.m.51534,-0.00352275439237412,-0.000694340990305536,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_044612.m.51675,-0.00600271578419118,-0.00131176959029395,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_044629.m.51700,-0.0107294363148356,0.00385185925588877,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_044640.m.51719,0.0179150278387599,-0.0325244214023836,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_044678.m.51771,0.00756256977830741,-0.0137297138786711,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_044692.m.51797,-0.0278186181330028,-0.0136587440074442,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_044795.m.51952,-0.00303392735432859,0.00411878926264277,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_044824.m.51993,0.00584168252502699,-0.00760793967807006,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_045072.m.52344,0.00436178679956042,-0.00662578947199409,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_045193.m.52491,-0.00595388513027441,-0.0182852927179478,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_045205.m.52522,-0.00120712571895217,-0.00340249639029347,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_045248.m.52574,-0.00200898419824052,0.00418325668027511,No,NA,NA,NA,NA,NA,NA,NA,NA
