"Supplemental Table 5. ASCA temperature effect scores, clustering, and GO enrichment analysis results. ",,,,,,,,,,,,
protein_ID,ASCA_PC1_loadings,ASCA_PC_threshold_pass,ClusterColor,SimpleClusterColor,UniprotID,Protein_names,Protein_fams,Gene_names,GO_terms,GO_bp_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_BRAFLDRAFT_109688.1.1.m.59704,0.016221391,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_113534.1.1.m.10828,0.004055949,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_113552.1.1.m.29171,0.001199997,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_113596.1.1.m.53557,-0.005118314,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_113849.1.1.m.53398,0.000438073,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_113849.1.1.m.53400,-1.00E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_113892.1.1.m.44055,-0.00598858,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_114006.1.1.m.49056,-0.001501464,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_114106.1.1.m.28307,0.000276403,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_114158.1.1.m.24733,0.006097887,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_114204.1.1.m.15168,0.009691192,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_114379.1.1.m.57424,0.001402994,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_114488.1.1.m.6260,-0.001975112,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_114510.1.1.m.52252,0.004783473,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_114633.1.1.m.49577,-0.023873791,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_114709.1.1.m.17347,0.015982164,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_114843.2.2.m.57232,-0.001487933,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_114859.1.1.m.37271,0.009206953,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_114866.1.5.m.6859,0.000414983,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_114866.4.5.m.35626,0.011186163,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_114866.4.5.m.35627,-0.000211855,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_114978.1.1.m.43775,0.003182563,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_115029.1.2.m.8365,0.01405459,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_115040.1.1.m.28389,-0.000236857,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_115113.1.2.m.31023,0.001276622,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_115208.1.1.m.52467,0.006208083,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_115265.1.1.m.5158,-0.001642668,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_115608.1.1.m.25984,0.000377824,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_115611.1.1.m.33392,0.007844024,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_115639.1.1.m.11373,-0.006745232,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_115687.1.1.m.4876,0.004064389,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_115743.1.1.m.61177,0.000606934,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_115771.2.2.m.30817,-0.003119913,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_115951.1.1.m.22622,0.006668616,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_116041.1.1.m.3962,0.000438508,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_116053.1.1.m.63017,-0.01365806,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_116088.2.2.m.27531,-0.00698491,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_116394.1.1.m.57079,0.000112296,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_116913.1.1.m.43886,-0.001077744,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_116988.1.3.m.3947,0.017693849,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117028.1.1.m.26596,-0.023276728,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117068.1.1.m.36193,0.000592723,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117083.3.3.m.59001,-0.017714422,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117106.1.1.m.49365,-0.001802772,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117157.1.3.m.7944,-0.016593114,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117158.2.2.m.42430,0.007800224,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117187.2.4.m.3553,0.011647027,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117216.1.1.m.25201,-0.021549269,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117231.1.1.m.4966,-0.005044772,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117263.1.1.m.28027,-0.004881375,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117275.1.1.m.9900,0.004504976,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117282.2.6.m.13259,8.07E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117283.2.2.m.37544,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117284.5.7.m.53216,0.004897838,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117292.1.1.m.19637,0.003198806,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117315.1.2.m.7247,0.000650553,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117365.1.2.m.12413,-0.010845032,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117365.2.2.m.31681,-0.023476604,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117560.1.1.m.18467,-0.012871459,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117612.1.1.m.28286,0.000867862,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117629.2.2.m.31330,-0.009045985,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117631.1.1.m.45793,-0.014421517,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117675.1.1.m.33772,0.0164239,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117737.1.1.m.4255,0.007696033,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117750.1.1.m.12162,0.003749988,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117811.1.1.m.27127,0.004440457,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117811.1.1.m.27128,0.016231178,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117821.1.1.m.16201,-0.009847514,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117849.1.3.m.2806,0.004843761,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117849.2.3.m.4489,-0.000854207,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117849.3.3.m.5503,0.006579138,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117858.2.3.m.48274,-0.001328598,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117858.3.3.m.61651,-0.008317297,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117875.1.1.m.48427,-0.000946809,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117937.1.1.m.18686,0.001608052,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117940.1.1.m.59223,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117976.1.3.m.22767,-0.005235229,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_117976.2.3.m.49156,-0.002403964,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118043.1.1.m.26278,0.0018358,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118054.1.1.m.18488,0.010095177,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118099.2.6.m.3049,-0.004368229,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118099.6.6.m.45150,-0.01376049,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118103.1.1.m.41767,0.00307535,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118108.1.1.m.58962,5.01E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118210.1.1.m.51280,-0.00603356,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118250.1.1.m.11178,0.017072584,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118260.1.1.m.13621,-0.000517374,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118294.2.2.m.15439,-0.001378366,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118310.1.1.m.8287,-0.001014143,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118365.1.1.m.44334,-0.011561065,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118423.1.3.m.29148,-0.001274663,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118423.2.3.m.29362,-0.002655927,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118423.3.3.m.30322,5.40E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118430.2.2.m.44188,0.006942405,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118500.1.1.m.46374,-0.002394756,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118535.3.8.m.35521,0.002590414,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118535.6.8.m.55199,8.48E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118535.8.8.m.61819,-0.005821961,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118545.2.2.m.54585,0.005109875,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118602.2.5.m.17419,0.006516311,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118602.4.5.m.26803,-5.21E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118619.2.2.m.4663,-0.008827374,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118645.1.1.m.30629,-0.010357113,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118680.1.1.m.14225,0.003262649,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118709.2.4.m.41225,0.007545638,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118709.3.4.m.52468,-0.00736914,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118718.1.1.m.14739,0.004446778,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118735.1.1.m.6990,0.016649044,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118736.1.1.m.17458,-0.002981891,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118756.1.2.m.16721,0.006057225,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118772.1.1.m.59465,-0.011078604,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118789.2.3.m.59829,0.001227389,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118790.1.1.m.29970,0.00058169,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118793.1.1.m.20795,0.004550392,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118803.1.1.m.14069,-0.020330837,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118819.1.2.m.29565,-0.007111744,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_118961.1.1.m.8363,-0.016682084,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_119035.1.3.m.6973,-0.001539073,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_119036.1.1.m.18576,-0.02038612,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_119350.1.1.m.50169,-0.001498324,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_119363.1.1.m.41627,-0.001981068,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_119367.1.1.m.59963,0.005755034,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_119424.1.1.m.15350,0.0078286,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_119484.2.3.m.60445,-0.013190575,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_119491.1.1.m.58761,-0.014564155,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_119549.1.1.m.56597,-0.008744519,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_119616.1.1.m.31670,0.001124177,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_119617.1.1.m.50138,0.000108849,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_119774.4.4.m.33349,-0.004600954,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_119799.1.1.m.23765,0.001934664,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_119901.1.1.m.7089,-0.00858998,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_119906.1.1.m.45319,0.017903811,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_119906.1.1.m.45320,-0.001428064,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_119955.1.1.m.16485,-0.004958623,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_119982.1.1.m.62398,0.005957686,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_120041.1.1.m.6386,-0.011867291,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_120058.1.1.m.9895,0.003366364,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_120093.2.2.m.51468,0.003003727,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_120139.4.5.m.50713,-0.006094343,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_120431.1.1.m.49038,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_120433.1.1.m.66614,-0.017383168,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_120586.1.1.m.41856,-0.013267773,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_120588.1.1.m.22993,-0.010977817,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_120607.1.3.m.8455,-0.005304357,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_120767.1.1.m.16005,0.008487989,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_120826.1.1.m.56321,0.001019196,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_120908.1.1.m.5866,0.000367544,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_120923.3.3.m.58916,0.000678596,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_120970.1.1.m.63798,-0.009381068,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_120990.1.18.m.2376,0.000338674,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_120990.10.18.m.51025,-0.006903109,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_120993.1.2.m.41307,0.019327346,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_121045.1.1.m.55827,-0.009906963,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_121105.1.1.m.41883,-0.004162234,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_121138.1.1.m.787,0.005378328,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_121151.1.1.m.59381,0.005718427,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_121259.1.1.m.2411,0.000150518,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_121459.1.1.m.21810,0.000317404,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_121480.1.1.m.48790,0.007278314,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_121507.1.2.m.30603,-0.005800312,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_121562.1.1.m.37267,0.001364565,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_121562.1.1.m.37268,-0.001360665,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_121824.1.1.m.37419,-0.004009509,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_121887.1.1.m.59668,0.005869199,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_121902.1.1.m.64757,-0.004094872,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_121927.1.1.m.47211,-0.002038225,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_122018.1.1.m.21774,-0.013255427,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_122376.1.1.m.49446,-0.007078272,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_122381.3.4.m.23140,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_122389.1.1.m.15498,-0.005679565,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_122422.1.2.m.52874,0.00095816,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_122572.1.1.m.29320,-0.012703416,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_122634.2.2.m.43678,0.001032585,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_122687.1.1.m.47713,-0.01914155,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_122791.1.6.m.8640,0.007020492,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_122807.1.1.m.3729,-2.65E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_122887.1.1.m.62170,0.010630299,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_122922.1.1.m.17746,0.006885775,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_122927.1.1.m.51870,0.011791164,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_122970.1.1.m.52022,-0.018611713,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_123087.1.2.m.6329,0.002822212,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_123087.2.2.m.27308,0.003310474,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_123202.1.1.m.17267,-0.009509241,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_123291.1.1.m.11923,0.000394811,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_123298.1.1.m.483,-0.004658179,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_123304.1.1.m.29231,-0.010836392,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_123389.1.1.m.57156,-0.006110408,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_123397.1.1.m.42218,0.003923728,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_123537.1.2.m.28822,0.029435892,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_123537.2.2.m.50531,0.00993514,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_123540.1.1.m.10582,-0.021690517,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_123636.1.1.m.16162,0.003455561,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_123642.2.2.m.55471,0.004742802,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_123736.1.1.m.48671,-0.001267762,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_123741.1.1.m.31088,0.00100852,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_123768.1.1.m.7223,0.005239766,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_123909.1.1.m.24337,0.000300752,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_123969.1.1.m.15145,-0.001434465,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_123986.1.1.m.47284,-0.003742214,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_124020.1.1.m.22574,0.001662253,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_124027.1.2.m.22812,0.004354305,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_124027.2.2.m.50286,-0.019600591,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_124064.1.6.m.5120,-0.018855647,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_124064.3.6.m.38212,-0.014009331,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_124064.5.6.m.41252,0.012555093,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
