protein_ID,PC1_loadings,PC2_loadings,PC_threshold_pass,ClusterColor,SimpleClusterColor,Protein_names,Protein_fams,Gene_names,GO_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_CAOG_02976.2.2.m.56777,-0.00790136828752616,0.00563494505377839,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CAOG_03463.1.1.m.16746,0.022523815580458,-0.00239810330297908,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CAOG_04006.1.1.m.5403,-0.00245684897271116,0.00638548952195998,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CAOG_04643.2.2.m.50992,-0.00807121184738096,-0.0183334368229742,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CAOG_04686.2.2.m.28117,0.0123923553551618,-0.00682679591929439,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CAOG_05733.1.2.m.29878,0.00217997094733793,-0.00807271368859912,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CAP.1.2.m.22123,0.0129819682480505,-0.0093967617981991,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CAPLA.1.2.m.51979,0.00293769442973348,0.00376964101012822,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CAPSLB.1.1.m.58887,0.00757925003585761,-0.00803733661231031,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CAPZB.1.1.m.5762,-0.0102793373944694,0.00154608826642891,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CARNS1.1.6.m.2227,0.0126706705629762,0.00553808510452206,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CARNS1.2.6.m.3531,-0.0088966502426331,-0.0122717828007179,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CARNS1.4.6.m.40244,-0.0224534673683899,0.00174224082891492,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CARNS1.5.6.m.63614,-0.00797589511892867,-0.0028306114774435,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CASP10.4.7.m.45631,-0.0142170855361991,0.00951027135758854,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CASP10.5.7.m.49889,-0.0122955046556908,0.0102773938140137,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CASP2.5.5.m.35953,-0.00302719171622941,0.00703096471524672,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CASP3.1.3.m.23354,-0.0119054610971331,0.00886888339553181,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CASP3.2.3.m.24896,0.00394536801625317,0.00291369700370642,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CASP7.11.23.m.26574,-0.0137702423369577,-0.000804333377573624,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CASP7.16.23.m.50828,-0.00856799551719188,0.0123824106449737,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CASP7.17.23.m.52767,-0.00997904171787918,-0.0195504871695299,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CASP7.18.23.m.52787,0.00410529319584404,-0.0229697515534836,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CASP7.2.23.m.5415,-0.0141232161764324,0.000544696117209382,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CASP7.21.23.m.63852,-0.0135725579708753,0.00388604629968508,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CASP7.22.23.m.66704,0.00230841690341235,-0.000502403540471343,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CASP7.5.23.m.12847,-0.00137964188472962,0.00104481266888402,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CASP7.8.23.m.23670,0.00649177483141644,0.00185133731463109,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CASP7.9.23.m.25523,-0.0103788124158573,-0.0232443924366834,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CAT.1.1.m.57038,0.0182471208290041,-0.0191430520249675,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CATA.1.3.m.11120,-0.000545040836951044,0.00137285953608575,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CATA.2.3.m.18454,0.0131923294202569,-0.0150333223643037,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CATA.3.3.m.21642,0.0214218990168475,-0.0131064487027084,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CATB.1.2.m.5440,-0.016707452762858,0.0137740181780636,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CATL1.1.1.m.56906,-0.00866615230214198,0.00954186740526301,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CATS.1.1.m.45218,-0.00819866761700801,0.0115390754911872,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CB044.1.1.m.53539,0.00929721987098495,-0.00370386500748528,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CBG09799.1.1.m.44038,0.00157297708538548,-0.0132497709856058,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CBG11254.1.1.m.9107,-0.0213888494394249,0.00377671623031078,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CBG11292.1.1.m.12957,-0.00877660126960671,-0.0169197366534003,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CBG18730.1.1.m.2611,-3.2670905010267e-05,0.00143539021376872,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CBG20816.1.1.m.49333,0.00678620130084429,0.00878741825264137,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CBG22657.2.2.m.28802,0.00122045092560886,-0.0156721554955336,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CBLN3.1.2.m.29253,-0.00273883679985268,-0.0254220893926078,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CBP.2.4.m.11401,-0.00534534082827362,0.00453732134867721,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CBPC1.1.1.m.30713,0.00675992773841761,-0.00146214980801539,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CBPQ.1.1.m.58629,-0.0145840885380519,-0.000994959572942789,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CBR.GLY.5.1.1.m.26441,0.00429419672153481,0.0130852228402541,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CBR.LET.2.2.2.m.44681,-0.0126904991411995,-0.0199242133440412,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CBR.LET.2.2.2.m.44682,0.00900856888916949,0.0122797993290445,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CBR.LIN.24.1.1.m.5076,-0.0147836342838041,-0.00443558193279479,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CBS.2.2.m.65898,-0.00549036135109562,-0.00257197100301953,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CBWD1.1.1.m.6825,-0.0118330333153798,-0.00924817953836681,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CBX1.1.4.m.5390,0.00223827872208104,-0.00308869152840818,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CBX1.3.4.m.27106,0.0098116610145509,0.0113491549997151,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CC136.1.1.m.64302,-0.00853714201203973,-0.0138183418508379,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CC171.1.1.m.55237,-0.00867903714092577,-0.00288592922649018,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CC1G_13336.1.3.m.23079,-0.00174989127075814,-0.0160842513047495,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CCAR1.1.1.m.25430,-0.0130879870731924,0.00501561921211716,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CCBL1.1.1.m.30637,-0.0161377026491713,0.00191413382260388,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CCD22.1.1.m.6639,0.000431770287194508,0.0122380629515793,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CCD43.1.1.m.63636,-0.00629539758430365,-0.0100268148354862,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CCD53.1.1.m.6684,0.0013391777916315,0.0112034044365507,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CCD73.1.2.m.21485,-0.00311482943823609,-0.0103253741656851,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CCDC146.1.1.m.11347,-0.0169591047060434,0.00960206869202777,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CCDC150.1.1.m.58800,-0.00149069617218707,-0.0106465609623128,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CCDC6.1.1.m.13918,0.00987576134678698,-0.00195199482869303,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CCHCR1.1.1.m.59142,-0.00890132569981275,0.00883419096309595,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CCHL.2.2.m.66608,0.000686232728993108,-0.0107331332691118,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CCKAR.4.6.m.43964,0.00491588973115351,-0.000600714720400964,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CCNB.2.2.m.16936,-0.0225665594713063,0.00999192889377058,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CCNL1.1.2.m.9018,-0.00942478965373355,-0.00954344950623587,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CD033.1.1.m.25350,0.00308579665995723,0.000599120041817783,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CD109.1.2.m.7033,-0.00462022156613356,-0.0115877347420854,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CD11B.1.1.m.51509,-0.00280127703226191,-0.0145186869209242,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CD36_40650.1.1.m.47015,-0.00168539322411456,0.0131354584444642,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CDC14A.1.1.m.18068,0.00297983243308073,0.00314759471694291,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CDC23.1.1.m.6463,-0.00831898987345843,-0.00418757059370242,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CDC42.1.11.m.324,0.0189470544913882,0.0060562829555977,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CDC42.11.11.m.60002,-0.0169591047060434,0.00960206869202778,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CDC42.11.11.m.60004,-0.0157510639120698,0.0114681197996711,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CDC5L.1.1.m.25107,-0.0204556346438286,-0.00875738054524092,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CDC73.1.1.m.36157,-0.00777518406698731,-0.00179797346672426,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CDK13.1.1.m.59965,-0.00193408664203835,-0.00585690402807892,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CDK5.1.1.m.25495,-0.0122165394791994,-0.00467805314072716,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CDO1.1.4.m.26663,0.01228816031807,0.0165176122223356,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CDPK5.1.1.m.6214,0.0192944058050688,0.000615309076284976,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CDPKM.1.1.m.58179,0.0101989061030094,-9.11328383984027e-05,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CE112.1.2.m.11508,0.00798086201070086,0.000714341065721911,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CE120.1.2.m.19214,-0.0145187350727862,-0.00797281667830697,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CEBPZ.1.1.m.12869,-0.0147107930863935,-0.0182740809933348,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CECR2.2.3.m.13613,0.00726331504356434,-0.0123946612585214,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CECR2.3.3.m.59311,0.0057518665764431,-0.0155504242234991,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CED1.20.29.m.45054,-0.00430894344577715,-0.00631540690244347,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CED1.22.29.m.48193,0.00441962396690306,-0.0051203424976495,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CED1.26.29.m.53629,-0.0169591047060434,0.00960206869202778,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CED1.9.29.m.29470,-0.0223833920835252,0.010624910862693,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CEG1A.1.6.m.815,0.0102857279417343,-0.00320176996692566,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CEL.2.3.m.27351,-0.00305735013927204,-0.0121489872452812,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CELA1.1.3.m.14531,0.00202313429339194,-0.0148249795191659,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CELA1.2.3.m.27287,-0.00357592236073357,0.00290302203872618,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CELE_F01D5.5.1.1.m.4263,0.0183713388480261,0.0131195110011489,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CELE_F01D5.5.1.1.m.4265,0.0168602546692844,0.0179184665611914,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CELE_Y64G10A.7.3.4.m.53262,0.00364778592941831,-0.00872052841558097,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CELF2.2.4.m.22506,0.0162367907034065,-0.0033163562158468,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CELF4.1.1.m.22429,-0.0102014560288983,0.00111087754476111,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CELR2.3.8.m.29505,-0.0131583778300733,-0.00184657849927864,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CENPJ.1.1.m.49318,0.00205195042830452,-0.00934116934689426,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CENTRIN.1.1.m.59526,0.0177808772866654,0.0144124972686481,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CEP164.1.1.m.40330,-0.00269427369580662,0.0103788752759664,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CEP192.1.2.m.7869,0.00774629309963527,0.00207928328404454,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CEP290.1.1.m.58767,-0.00227784758801489,-0.0119440664638335,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CEP350.1.1.m.4119,-0.000638204464315374,0.0033887714827567,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CEP63.2.2.m.35716,-0.000526983105764102,0.00488209859023435,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CEP76.1.1.m.6264,0.00170433519892022,0.0115784930881104,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CEP89.1.2.m.14339,-0.0043499829086317,-0.00855171661421107,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CERS6.1.1.m.5214,0.0222307280646754,-0.0130646220760492,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CETN1.1.3.m.15199,-0.0101770627819205,0.0020922683941715,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CF106.1.1.m.14354,0.000686232728993107,-0.0107331332691118,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CG057.1.1.m.45912,-0.00994707222712759,0.00166491988564023,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CG14207.1.1.m.41523,0.0130972391491823,0.0222183960076846,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CG17147.1.1.m.28107,-0.0151234887121513,0.00582500334842874,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CG34417.1.2.m.18203,-0.00269406043086957,0.0120860442619813,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CG42749.1.1.m.30138,0.01742169502802,-0.0142996873078304,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CGD4_750.1.1.m.29180,0.00966087217413188,0.0103147172662396,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CGL.1.2.m.31960,0.00699860611724635,0.022280603067376,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CH60.1.1.m.26967,0.0132345368320374,-0.0088405671459552,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CHCHD1.1.1.m.25210,-0.00119425598893371,0.0226819176030402,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CHD2.1.1.m.36132,0.00153640380189646,-0.00988606883455704,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CHD5.2.2.m.28708,-0.0170402690637592,0.00071300789952778,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CHD7.2.2.m.14418,-0.00598602423380899,-0.0144504684966901,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CHER.1.1.m.63350,-0.000540786824191481,0.0116373466725378,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CHERP.1.1.m.22401,0.000103987995095955,-0.00944738715955164,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CHGG_10233.1.1.m.39238,0.0173391484853431,0.0131299933462912,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CHI1.1.1.m.40259,0.00394536801625317,0.00291369700370642,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CHKA.1.1.m.25454,-0.000871084733032961,-0.00667960429869515,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CHL1.2.2.m.65829,0.0054209288641852,-0.00608907274151806,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CHM2A.1.1.m.59752,-0.00424686891332051,0.0184772708240357,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CHM4B.1.1.m.19057,0.00162310055990434,0.00637920501820385,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CHMP3.1.1.m.65684,8.65898100884434e-05,-0.0071734821310797,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CHMP5.1.1.m.66827,-0.0147337258147147,-0.00645572730125666,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CHMP7.1.1.m.15221,0.00370641017008542,0.0166374180423543,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CHRD1.1.1.m.42143,0.016235341865752,-0.00795492426907341,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CHRO_0413.1.2.m.16023,-0.0183623038065071,0.00550992553293632,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CHS.2.1.1.m.37794,0.00784462031363254,-0.0114002767556212,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CHS1.1.4.m.4755,-0.0139574282856996,-0.00172139089794657,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CHS2.1.1.m.63783,0.00678620130084428,0.00878741825264137,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CHSS2.1.1.m.19314,0.00394536801625317,0.00291369700370642,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CHTOP.1.1.m.35404,-0.00751543361997754,-0.00316596744860194,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CI064.1.1.m.9517,-0.00878231485419325,-0.017927363821203,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CIAO1.1.1.m.48324,0.00986116473944769,-0.000984088651382454,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CIC.1.2.m.57436,0.00559402286800436,-0.00635248559437883,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CIR1.1.2.m.16126,-0.0104181704481524,-0.00888533203794046,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CIR1A.1.1.m.11568,0.00413625868279585,-0.000495014429367506,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CISD2.1.1.m.26823,-0.00922932906597183,-0.01780705908939,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CISY.1.1.m.36666,-0.00728901835517975,-0.0166000827845557,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CKAP5.1.1.m.10679,-0.0155484415912802,0.0043067555223476,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CKLF4.1.1.m.55295,-0.00769521327470958,-0.00144440782895257,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CLAP1.4.6.m.39950,-0.00128767862016808,0.00196394864009968,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CLAP1.6.6.m.57823,0.00187914602742441,0.00171851399479476,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CLASR.1.2.m.27688,-0.0169591047060434,0.00960206869202777,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CLCN3.1.1.m.21245,-0.00933150883780593,-0.00524460328738769,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CLCN7.2.3.m.47039,0.00394536801625317,0.00291369700370642,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CLCN7.3.3.m.51894,0.00615966897194063,0.00941964587728867,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CLEC10A.3.3.m.27236,-0.0117074605484506,-0.0196811731428172,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CLEC17A.1.1.m.28486,0.0187835270585943,0.00884639372396541,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CLH1.2.2.m.22327,0.0215370811119139,-0.00466585106073761,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CLK2.1.1.m.3081,0.0104385894334987,-0.0113504390898705,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CLK2.1.1.m.3082,-0.00143301775241919,-0.0010412270967392,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CLP1.1.1.m.11641,0.00882633586672091,-0.0124288880142802,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CLPB.1.3.m.14233,0.00579038507514402,-0.00932968655010749,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CLPT1.1.1.m.50172,-0.0169591047060434,0.00960206869202777,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CLPX.1.2.m.12748,-0.00422905581875555,-0.0191251680854363,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CLPX.2.2.m.49273,-0.00382902148549241,-0.00672768767216508,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CLSTN1.1.1.m.55323,0.0111020735481252,0.0164377031968977,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CLU.1.1.m.8566,0.012177592408274,-0.020646911684952,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CML1.1.1.m.30763,-0.0226661346406256,0.0102977510395923,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CML8.1.1.m.37436,-0.0129500163802331,-0.0137159510842746,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CN166.1.1.m.14529,-0.00795780016397421,-0.00939016343967929,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CNA1.1.1.m.65403,-0.0033077581762012,-0.0235928539096484,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CNDP2.1.4.m.11722,0.0109290174118578,-0.00262784474307909,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CNDP2.3.4.m.30467,0.0156576337926071,0.0112719567523091,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CNDP2.4.4.m.56870,-0.0141462025288656,-0.0156130292155918,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CNE_1C34780.3.3.m.30615,0.00785975713500461,-0.0237019083237349,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CNOT1.1.1.m.12104,-0.00817737765569613,-0.0206601821169581,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CNOT1.1.1.m.12106,-0.00325191942289379,0.0168685001506296,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CNOT2.1.2.m.47530,-0.00757928376399754,-0.0182130380616588,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CNOT3.1.1.m.62322,-0.000279009203467374,0.00126438191841407,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CNOT7.1.2.m.7497,-0.011168823947816,-0.0124868468407736,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CNOT7.2.2.m.35718,0.00344460871405296,-0.0194315636351684,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CNTN5.4.5.m.44639,-0.00471326329046329,0.00201128641998024,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CNTN6.1.2.m.781,-0.00735477800271229,0.00265701912109768,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CNTRL.1.1.m.8381,-0.0139372585272142,-0.00823782213273495,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CNTROB.1.1.m.11584,-0.00212078832001384,-0.00891837260408135,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CO1A1.1.1.m.32133,0.0226433244395011,-0.00579449310597908,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CO2A1.1.1.m.62996,0.021314660973843,-0.00666521552170007,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CO4A1.1.2.m.36472,0.000943117843036186,0.0142264998047212,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CO4A2.1.2.m.14631,-0.0176250151912822,-0.00287140022850349,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CO5A2.1.1.m.28030,-0.0232798810671952,0.0018986565948888,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CO6A3.2.5.m.39533,0.0114499035753809,0.0109999041875931,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CO6A3.3.5.m.39796,0.00615966897194063,0.00941964587728867,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CO6A5.1.6.m.5838,0.0234495832778498,-0.00395954518770108,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CO6A5.1.6.m.5840,0.00386040049782138,-0.0241627830804817,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CO9A1.1.1.m.62338,-0.000321047172755862,-0.00257096448537173,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_COCA1.3.6.m.49360,-0.0231826971038821,0.00622283578321554,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_COG2.1.2.m.12604,0.0169177605345584,-0.00305760043101621,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_COG3.1.1.m.35921,0.00982777793502474,0.00352277206870015,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_COG5.1.1.m.13833,-0.00432951190178587,0.00534850154249317,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_COG6.1.1.m.57008,0.00635082677765399,0.011037859513393,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_COG8.1.1.m.10907,0.00421530133312141,-0.00220802272682078,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_COIL.1.1.m.18070,-0.00986028182513241,-0.00178656649254563,No,NA,NA,NA,NA,NA,NA,NA,NA
