Entry	Entry_name	Protein_names	Gene _ames	EMBL_ACC
K1PX83	K1PX83_CRAGI	Dynein heavy chain 5, axonemal	CGI_10017921	EKC23674
K1Q4B2	K1Q4B2_CRAGI	Laminin subunit alpha-3	CGI_10017922	EKC23675
K1PX88	K1PX88_CRAGI	Putative thiopurine S-methyltransferase	CGI_10013536	EKC23684
K1PIB2	K1PIB2_CRAGI	Uncharacterized protein	CGI_10021888	EKC23732
K1PQ52	K1PQ52_CRAGI	Uncharacterized protein	CGI_10013933	EKC23773
K1Q4I2	K1Q4I2_CRAGI	Uncharacterized protein	CGI_10013935	EKC23775
K1QQK3	K1QQK3_CRAGI	Uncharacterized protein	CGI_10013948	EKC23786
K1PQ73	K1PQ73_CRAGI	Dysferlin-interacting protein 1	CGI_10010447	EKC23803
K1PQ83	K1PQ83_CRAGI	Uncharacterized protein	CGI_10020198	EKC23818
K1QQP3	K1QQP3_CRAGI	Uncharacterized protein	CGI_10020214	EKC23831
K1PQB0	K1PQB0_CRAGI	Large proline-rich protein BAT3	CGI_10008867	EKC23858
A7M7T7	A7M7T7_CRAGI	Non-selenium glutathione peroxidase (Peroxiredoxin-6)	gpx CGI_10008877	CAK22382
K1PQF1	K1PQF1_CRAGI	Neural cell adhesion molecule L1	CGI_10015921	EKC23908
K1PIW7	K1PIW7_CRAGI	Uncharacterized protein	CGI_10004557	EKC23927
K1PQV2	K1PQV2_CRAGI	Cytochrome P450 3A24	CGI_10014251	EKC24008
K1PJ91	K1PJ91_CRAGI	Prominin-1	CGI_10026281	EKC24042
K1PR64	K1PR64_CRAGI	N-acylethanolamine-hydrolyzing acid amidase	CGI_10026325	EKC24083
K1QRG6	K1QRG6_CRAGI	Uncharacterized protein	CGI_10015176	EKC24086
K1PJF3	K1PJF3_CRAGI	FMRFamide neuropeptide	CGI_10015177	EKC24087
K1Q5C4	K1Q5C4_CRAGI	Calmodulin-like protein 12	CGI_10015180	EKC24090
K1QRH6	K1QRH6_CRAGI	Uncharacterized protein	CGI_10016657	EKC24111
K1PR93	K1PR93_CRAGI	3-hydroxyisobutyrate dehydrogenase (HIBADH) (EC 1.1.1.31)	CGI_10016672	EKC24123
K1QRI4	K1QRI4_CRAGI	SH3 domain-binding protein 5-like protein	CGI_10016675	EKC24126
K1PRB6	K1PRB6_CRAGI	Apolipoprotein D	CGI_10018491	EKC24158
K1Q5I6	K1Q5I6_CRAGI	Uncharacterized protein	CGI_10007019	EKC24175
K1QRL1	K1QRL1_CRAGI	Uncharacterized protein	CGI_10007020	EKC24176
K1QRM9	K1QRM9_CRAGI	Acidic leucine-rich nuclear phosphoprotein 32 family member A	CGI_10011146	EKC24206
K1Q5N1	K1Q5N1_CRAGI	Sperm-associated antigen 8	CGI_10011284	EKC24235
K1PYT1	K1PYT1_CRAGI	Calmodulin	CGI_10011294	EKC24244
K1QRQ8	K1QRQ8_CRAGI	Calmodulin	CGI_10011296	EKC24246
K1PJR0	K1PJR0_CRAGI	Calmodulin	CGI_10011297	EKC24247
K1QRR1	K1QRR1_CRAGI	Calmodulin	CGI_10011301	EKC24251
K1PRI1	K1PRI1_CRAGI	Uncharacterized protein	CGI_10002445	EKC24253
K1PJS7	K1PJS7_CRAGI	Poly [ADP-ribose] polymerase (PARP) (EC 2.4.2.-)	CGI_10003625	EKC24267
K1PJT8	K1PJT8_CRAGI	Gamma-interferon-inducible lysosomal thiol reductase	CGI_10014397	EKC24277
K1QRW8	K1QRW8_CRAGI	Pyruvate kinase (EC 2.7.1.40)	CGI_10007560	EKC24326
K1PZ23	K1PZ23_CRAGI	DnaJ-like protein subfamily C member 3	CGI_10007563	EKC24329
K1QS09	K1QS09_CRAGI	Protein C20orf11	CGI_10013368	EKC24371
K1PZ85	K1PZ85_CRAGI	Uncharacterized protein	CGI_10013387	EKC24389
K1PRU9	K1PRU9_CRAGI	Uncharacterized protein	CGI_10014044	EKC24398
K1PRW1	K1PRW1_CRAGI	Mitochondrial import inner membrane translocase subunit Tim10	CGI_10014059	EKC24413
K1PZB2	K1PZB2_CRAGI	Uncharacterized protein	CGI_10014060	EKC24414
K1Q6C7	K1Q6C7_CRAGI	Uncharacterized protein	CGI_10016401	EKC24435
K1Q6D7	K1Q6D7_CRAGI	Centrin-1	CGI_10016406	EKC24440
K1PS57	K1PS57_CRAGI	Putative RNA-binding protein EIF1AD	CGI_10019586	EKC24483
K1QSD9	K1QSD9_CRAGI	Uncharacterized protein	CGI_10007870	EKC24516
K1PZR3	K1PZR3_CRAGI	U2 small nuclear ribonucleoprotein A	CGI_10019926	EKC24544
K1PZT2	K1PZT2_CRAGI	Cytochrome c oxidase subunit 5B, mitochondrial	CGI_10019936	EKC24554
K1PKM8	K1PKM8_CRAGI	Calmodulin	CGI_10024380	EKC24592
K1PSM3	K1PSM3_CRAGI	Putative calcium-binding protein CML13	CGI_10024381	EKC24593
K1PKN2	K1PKN2_CRAGI	Papilin	CGI_10024386	EKC24597
K1Q045	K1Q045_CRAGI	Transmembrane BAX inhibitor motif-containing protein 4	CGI_10009236	EKC24719
K1QT28	K1QT28_CRAGI	Ectoine hydroxylase	CGI_10016928	EKC24756
K1QT31	K1QT31_CRAGI	Uncharacterized protein	CGI_10006272	EKC24761
K1Q086	K1Q086_CRAGI	Ankyrin-2	CGI_10019530	EKC24774
K1PL35	K1PL35_CRAGI	2-oxoglutarate dehydrogenase E1 component, mitochondrial	CGI_10019543	EKC24787
K1PL53	K1PL53_CRAGI	Uncharacterized protein	CGI_10019555	EKC24797
K1PT11	K1PT11_CRAGI	Collagen alpha-2(I) chain	CGI_10010906	EKC24808
K1PT33	K1PT33_CRAGI	Prostaglandin reductase 1	CGI_10010805	EKC24838
K1Q7N0	K1Q7N0_CRAGI	Transcription factor SOX-2	CGI_10010085	EKC24855
K1Q7P7	K1Q7P7_CRAGI	Uncharacterized protein	CGI_10021467	EKC24870
K1PT70	K1PT70_CRAGI	Arginine kinase	CGI_10021482	EKC24883
K1PTA0	K1PTA0_CRAGI	Uncharacterized protein	CGI_10008262	EKC24913
K1PLK6	K1PLK6_CRAGI	BTB/POZ domain-containing protein 9	CGI_10004402	EKC24917
K1Q7U9	K1Q7U9_CRAGI	3-ketoacyl-CoA thiolase A, peroxisomal	CGI_10007279	EKC24920
K1PTE6	K1PTE6_CRAGI	Uncharacterized protein	CGI_10010933	EKC24948
K1Q0U6	K1Q0U6_CRAGI	Uncharacterized protein	CGI_10024026	EKC24969
K1Q822	K1Q822_CRAGI	Uncharacterized protein	CGI_10024053	EKC24995
K1Q837	K1Q837_CRAGI	L-ascorbate oxidase	CGI_10008967	EKC25015
K1Q841	K1Q841_CRAGI	Phospholipid scramblase 2	CGI_10008974	EKC25020
K1Q183	K1Q183_CRAGI	Charged multivesicular body protein 3	CGI_10003741	EKC25074
K1Q8A5	K1Q8A5_CRAGI	Tetraspanin	CGI_10009478	EKC25090
K1Q1B2	K1Q1B2_CRAGI	Uncharacterized protein	CGI_10008488	EKC25129
K1QUF4	K1QUF4_CRAGI	WW domain-binding protein 4 (Fragment)	CGI_10010520	EKC25176
K1Q1F4	K1Q1F4_CRAGI	60S ribosomal protein L3 (Fragment)	CGI_10010529	EKC25184
K1Q8J5	K1Q8J5_CRAGI	Uncharacterized protein C5orf48-like protein	CGI_10014873	EKC25195
K1Q1H8	K1Q1H8_CRAGI	Uncharacterized protein	CGI_10003818	EKC25214
K1PU79	K1PU79_CRAGI	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	CGI_10011948	EKC25233
K1Q8N8	K1Q8N8_CRAGI	PRA1 family protein	CGI_10011950	EKC25235
K1Q1K3	K1Q1K3_CRAGI	Uncharacterized protein	CGI_10014271	EKC25239
K1QUK4	K1QUK4_CRAGI	Protein SET	CGI_10014273	EKC25241
K1QUN1	K1QUN1_CRAGI	Mitogen-activated protein kinase kinase kinase kinase 3 (Fragment)	CGI_10019662	EKC25276
K1PMQ8	K1PMQ8_CRAGI	Membrane metallo-endopeptidase-like 1	CGI_10019674	EKC25287
K1QUQ3	K1QUQ3_CRAGI	FGFR1 oncogene partner 2-like protein	CGI_10019688	EKC25301
K1Q1S3	K1Q1S3_CRAGI	Myosin-VI	CGI_10013678	EKC25309
K1PMT6	K1PMT6_CRAGI	Heterogeneous nuclear ribonucleoprotein U-like protein 1	CGI_10015594	EKC25317
K1QUR9	K1QUR9_CRAGI	Synaptosomal-associated protein	CGI_10015598	EKC25321
K1PMU4	K1PMU4_CRAGI	Uncharacterized protein	CGI_10015606	EKC25327
K1QUU3	K1QUU3_CRAGI	Paxillin	CGI_10022346	EKC25346
K1QUV6	K1QUV6_CRAGI	Smoothelin-like protein 1	CGI_10022356	EKC25356
K1PUI4	K1PUI4_CRAGI	Peptidylprolyl isomerase (EC 5.2.1.8)	CGI_10005346	EKC25378
K1Q951	K1Q951_CRAGI	Serine/threonine-protein kinase Nek4	CGI_10005580	EKC25385
K1PN08	K1PN08_CRAGI	Metalloendopeptidase (EC 3.4.24.-)	CGI_10009952	EKC25392
K1PNC7	K1PNC7_CRAGI	AFG3-like protein 2	CGI_10019392	EKC25512
K1PS11	K1PS11_CRAGI	Uncharacterized protein	CGI_10003535	EKC21644
K1QVF8	K1QVF8_CRAGI	Uncharacterized protein in QAH/OAS sulfhydrylase 3'region (Fragment)	CGI_10008390	EKC25546
K1PNL1	K1PNL1_CRAGI	Uncharacterized protein	CGI_10010386	EKC25602
K1PNM0	K1PNM0_CRAGI	Coiled-coil domain-containing protein 58	CGI_10013574	EKC25622
D7EZH1	D7EZH1_CRAGI	Cystatin B-like protein (Cystatin-B)	CGI_10013578	ADI33157
K1PNQ5	K1PNQ5_CRAGI	Heat shock protein HSP 90-alpha 1	CGI_10017621	EKC25687
K1PVD7	K1PVD7_CRAGI	Cytochrome c oxidase subunit 5A, mitochondrial	CGI_10015197	EKC25698
K1PVE0	K1PVE0_CRAGI	RPE-spondin	CGI_10015203	EKC25703
K1QVW0	K1QVW0_CRAGI	Aldo-keto reductase family 1 member B10	CGI_10015206	EKC25706
K1QW02	K1QW02_CRAGI	28 kDa heat-and acid-stable phosphoprotein	CGI_10002252	EKC25746
K1QW41	K1QW41_CRAGI	Leucine-zipper-like transcriptional regulator 1	CGI_10017773	EKC25786
K1PNW8	K1PNW8_CRAGI	A-kinase anchor protein 9	CGI_10017775	EKC25787
K1QAA3	K1QAA3_CRAGI	Dipeptidase (EC 3.4.13.19)	CGI_10017778	EKC25790
K1QW72	K1QW72_CRAGI	Catalase	CGI_10003354	EKC25821
K1PP68	K1PP68_CRAGI	Calmodulin-like protein	CGI_10013419	EKC25917
K1PW16	K1PW16_CRAGI	Uncharacterized protein C10orf67	CGI_10013420	EKC25918
K1Q3D9	K1Q3D9_CRAGI	Calmodulin	CGI_10013421	EKC25919
K1QAP7	K1QAP7_CRAGI	Uncharacterized protein	CGI_10013422	EKC25920
K1QAU6	K1QAU6_CRAGI	TP53-regulated inhibitor of apoptosis 1	CGI_10010220	EKC25955
K1Q3L8	K1Q3L8_CRAGI	Serine/threonine-protein phosphatase 6 regulatory subunit 3	CGI_10016498	EKC25989
K1PW99	K1PW99_CRAGI	Protein OSCP1	CGI_10016507	EKC25998
K1QB32	K1QB32_CRAGI	Legumain	CGI_10010676	EKC26025
K1PWD9	K1PWD9_CRAGI	Uncharacterized protein	CGI_10010679	EKC26028
K1QX40	K1QX40_CRAGI	Uncharacterized protein	CGI_10023375	EKC26071
K1QBB5	K1QBB5_CRAGI	Uncharacterized protein	CGI_10023385	EKC26080
K1Q3Y3	K1Q3Y3_CRAGI	Metalloendopeptidase (EC 3.4.24.-)	CGI_10012822	EKC26094
K1PWM6	K1PWM6_CRAGI	Neural/ectodermal development factor IMP-L2	CGI_10012826	EKC26098
K1PPM3	K1PPM3_CRAGI	Cytoplasmic dynein 1 intermediate chain 2	CGI_10010244	EKC26112
K1PPM6	K1PPM6_CRAGI	Uncharacterized protein	CGI_10010255	EKC26122
K1Q419	K1Q419_CRAGI	Upstream stimulatory factor 2	CGI_10027128	EKC26144
K1QBF7	K1QBF7_CRAGI	Hypoxia up-regulated protein 1	CGI_10027129	EKC26145
K1PPN7	K1PPN7_CRAGI	Frizzled-7	CGI_10027131	EKC26147
K1PPP6	K1PPP6_CRAGI	Cell adhesion molecule 3	CGI_10027152	EKC26167
K1PPP8	K1PPP8_CRAGI	Vigilin	CGI_10027157	EKC26172
K1PWW5	K1PWW5_CRAGI	Mediator of RNA polymerase II transcription subunit 10 (Mediator complex subunit 10)	MED10 CGI_10003268	EKC26203
K1QXF8	K1QXF8_CRAGI	Uncharacterized protein	CGI_10005509	EKC26246
K1QXM1	K1QXM1_CRAGI	Uncharacterized protein	CGI_10012583	EKC26306
K1PX59	K1PX59_CRAGI	Monocarboxylate transporter 12	CGI_10012585	EKC26308
K1PXB6	K1PXB6_CRAGI	Cadherin-23	CGI_10025805	EKC26348
K1PQ23	K1PQ23_CRAGI	PDZ and LIM domain protein 5	CGI_10025809	EKC26352
K1PXC3	K1PXC3_CRAGI	PDZ and LIM domain protein 1	CGI_10025810	EKC26353
K1Q4U7	K1Q4U7_CRAGI	AP-3 complex subunit delta-1	CGI_10025827	EKC26369
K1QC68	K1QC68_CRAGI	Laminin subunit beta-2	CGI_10005310	EKC26400
K1Q532	K1Q532_CRAGI	Peroxisomal biogenesis factor 19	CGI_10016866	EKC26424
K1Q5C5	K1Q5C5_CRAGI	Bile salt sulfotransferase	CGI_10012165	EKC26494
K1QCL6	K1QCL6_CRAGI	Proteasomal ubiquitin receptor ADRM1	CGI_10012171	EKC26500
K1PXZ3	K1PXZ3_CRAGI	Phytanoyl-CoA dioxygenase domain-containing protein 1-like protein	CGI_10010629	EKC26508
K1QY97	K1QY97_CRAGI	Vasodilator-stimulated phosphoprotein	CGI_10010632	EKC26511
K1PQF4	K1PQF4_CRAGI	Coiled-coil domain-containing protein 46	CGI_10010633	EKC26512
K1QYA6	K1QYA6_CRAGI	Uncharacterized protein C20orf26	CGI_10010637	EKC26516
K1QCS7	K1QCS7_CRAGI	Leucine-rich repeat-containing protein 16A	CGI_10005776	EKC26540
K1PQJ5	K1PQJ5_CRAGI	Deoxyuridine 5'-triphosphate nucleotidohydrolase	CGI_10005689	EKC26542
K1PY56	K1PY56_CRAGI	Cysteine-rich with EGF-like domain protein 2	CGI_10005690	EKC26543
K1Q5P0	K1Q5P0_CRAGI	60S ribosomal protein L17	CGI_10009797	EKC26554
K1Q5Q2	K1Q5Q2_CRAGI	Plastin-1	CGI_10004058	EKC26559
K1QYJ3	K1QYJ3_CRAGI	Protein disulfide-isomerase A5	CGI_10004060	EKC26561
K1PQQ3	K1PQQ3_CRAGI	Uncharacterized protein	CGI_10010476	EKC26572
K1QD28	K1QD28_CRAGI	Ras-related protein Rab-11A	CGI_10003481	EKC26640
K1QD34	K1QD34_CRAGI	Uncharacterized protein	CGI_10017882	EKC26650
K1PQV8	K1PQV8_CRAGI	Lysyl oxidase-like protein 2	CGI_10017884	EKC26652
K1PYH4	K1PYH4_CRAGI	Thioredoxin domain-containing protein 16	CGI_10028231	EKC26698
K1PYM2	K1PYM2_CRAGI	Uncharacterized protein	CGI_10028292	EKC26753
K1QZ13	K1QZ13_CRAGI	Ninjurin-1	CGI_10013211	EKC26781
K1QZ24	K1QZ24_CRAGI	Uncharacterized protein	CGI_10013223	EKC26791
K1Q698	K1Q698_CRAGI	High mobility group protein 20A	CGI_10011619	EKC26804
K1QZ53	K1QZ53_CRAGI	Uncharacterized protein	CGI_10013854	EKC26816
K1PYU1	K1PYU1_CRAGI	Uncharacterized protein (Fragment)	CGI_10013856	EKC26818
K1QZ60	K1QZ60_CRAGI	Uncharacterized protein	CGI_10013860	EKC26821
K1Q6B9	K1Q6B9_CRAGI	Uncharacterized protein	CGI_10007397	EKC26834
K1QDI4	K1QDI4_CRAGI	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	CGI_10017958	EKC26875
K1QDK0	K1QDK0_CRAGI	Engulfment and cell motility protein 2	CGI_10017796	EKC26895
K1QZI4	K1QZI4_CRAGI	Protein FAM21	CGI_10017816	EKC26911
K1PZ70	K1PZ70_CRAGI	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial	CGI_10019857	EKC26938
K1Q6S0	K1Q6S0_CRAGI	Dynein beta chain, flagellar outer arm	CGI_10007803	EKC26974
K1QZX2	K1QZX2_CRAGI	Xaa-Pro aminopeptidase 1	CGI_10009528	EKC26996
K1QZX8	K1QZX8_CRAGI	Myosin-XVI	CGI_10009534	EKC27001
K1PRV7	K1PRV7_CRAGI	Profilin	CGI_10009537	EKC27002
K1PZD9	K1PZD9_CRAGI	26S proteasome non-ATPase regulatory subunit 11	CGI_10004161	EKC27008
K1QDY8	K1QDY8_CRAGI	Uncharacterized protein C21orf59-like protein	CGI_10004163	EKC27010
K1PRX9	K1PRX9_CRAGI	Stress-induced protein 1	CGI_10004165	EKC27012
K1PS13	K1PS13_CRAGI	Coatomer subunit beta (Fragment)	CGI_10006964	EKC27032
K1R098	K1R098_CRAGI	Serine/threonine-protein kinase phg2	CGI_10012078	EKC27061
K1PS84	K1PS84_CRAGI	Alpha-crystallin B chain	CGI_10012084	EKC27067
K1PZL4	K1PZL4_CRAGI	Sperm surface protein Sp17	CGI_10005609	EKC27073
K1PZL9	K1PZL9_CRAGI	Heat shock 70 kDa protein 12B	CGI_10005614	EKC27078
K1Q760	K1Q760_CRAGI	Phosphoenolpyruvate carboxykinase, cytosolic [GTP]	CGI_10014915	EKC27094
K1PZN0	K1PZN0_CRAGI	Uncharacterized protein	CGI_10014919	EKC27098
K1PZP9	K1PZP9_CRAGI	Cystatin-B	CGI_10013261	EKC27128
K1PZQ5	K1PZQ5_CRAGI	Actin CyI, cytoplasmic	CGI_10000602	EKC27138
K1PSE5	K1PSE5_CRAGI	Transforming acidic coiled-coil-containing protein 1	CGI_10009825	EKC27162
K1R0H0	K1R0H0_CRAGI	Glutamine synthetase (EC 6.3.1.2)	CGI_10015426	EKC27196
K1PZU2	K1PZU2_CRAGI	RNA-binding protein 25	CGI_10006772	EKC27203
K1PSI0	K1PSI0_CRAGI	Epsin-2	CGI_10005083	EKC27212
K1Q7F8	K1Q7F8_CRAGI	Uncharacterized protein	CGI_10005085	EKC27214
K1QEJ0	K1QEJ0_CRAGI	Ras GTPase-activating protein-binding protein 2	CGI_10005086	EKC27215
K1PSI4	K1PSI4_CRAGI	Uncharacterized protein	CGI_10005088	EKC27217
K1PSI7	K1PSI7_CRAGI	Uncharacterized protein C8orf34	CGI_10002220	EKC27222
K1Q7H3	K1Q7H3_CRAGI	Docking protein 1	CGI_10014378	EKC27234
K1PSN0	K1PSN0_CRAGI	Pre-mRNA-processing factor 40-like protein A	CGI_10003298	EKC27272
K1Q075	K1Q075_CRAGI	Plexin-A4	CGI_10013830	EKC27333
K1Q083	K1Q083_CRAGI	Uncharacterized protein	CGI_10010367	EKC27343
K1PSZ0	K1PSZ0_CRAGI	MORN repeat-containing protein 4	CGI_10003663	EKC27372
K1Q7S9	K1Q7S9_CRAGI	Anosmin-1	CGI_10003665	EKC27374
K1PSZ4	K1PSZ4_CRAGI	U6 snRNA-associated Sm-like protein LSm1	LSM1 CGI_10003668	EKC27377
K1Q0E7	K1Q0E7_CRAGI	Uncharacterized protein	CGI_10005225	EKC27393
K1QEZ3	K1QEZ3_CRAGI	Fascin	CGI_10025410	EKC27420
K1PT39	K1PT39_CRAGI	Neurocalcin-like protein	CGI_10025417	EKC27427
K1Q7Z5	K1Q7Z5_CRAGI	UPF0631 protein	CGI_10025446	EKC27454
K1QF45	K1QF45_CRAGI	Alpha-tocopherol transfer-like protein	CGI_10002017	EKC27480
K1R1F9	K1R1F9_CRAGI	GRIP1-associated protein 1	CGI_10020178	EKC27551
K1R1K6	K1R1K6_CRAGI	Heat shock protein beta-1	CGI_10017582	EKC27576
K1QFN6	K1QFN6_CRAGI	EF-hand domain-containing family member B	CGI_10016940	EKC27650
K1Q8I6	K1Q8I6_CRAGI	Uncharacterized protein	CGI_10016949	EKC27659
K1Q8K2	K1Q8K2_CRAGI	Importin subunit alpha	CGI_10013833	EKC27679
K1PTU0	K1PTU0_CRAGI	Kinesin light chain	CGI_10013847	EKC27692
K1Q8L9	K1Q8L9_CRAGI	Eukaryotic translation initiation factor 5	CGI_10013849	EKC27694
K1PTV1	K1PTV1_CRAGI	Splicing factor 3B subunit 4	CGI_10011176	EKC27707
K1QFV6	K1QFV6_CRAGI	GrpE protein homolog	CGI_10007908	EKC27735
K1Q8T3	K1Q8T3_CRAGI	Importin subunit alpha	CGI_10005457	EKC27764
K1PTZ9	K1PTZ9_CRAGI	Uncharacterized protein	CGI_10002715	EKC27767
K1Q1J4	K1Q1J4_CRAGI	Protein disabled	CGI_10001797	EKC27798
K1QG47	K1QG47_CRAGI	Diaphanous-like protein 2	CGI_10023934	EKC27810
K1PU86	K1PU86_CRAGI	Thioredoxin reductase 3	CGI_10022651	EKC27867
K1R289	K1R289_CRAGI	Collagen alpha-3(VI) chain	CGI_10013230	EKC27891
K1PUB4	K1PUB4_CRAGI	ADAM family mig-17	CGI_10013236	EKC27897
K1Q1Z8	K1Q1Z8_CRAGI	Complement C1q-like protein 4 (Fragment)	CGI_10014945	EKC27943
K1QGQ5	K1QGQ5_CRAGI	Superoxide dismutase (EC 1.15.1.1)	CGI_10017307	EKC27985
K1R2I1	K1R2I1_CRAGI	Pre-mRNA-splicing regulator female-lethal(2)D (Fragment)	CGI_10017308	EKC27986
K1PUJ8	K1PUJ8_CRAGI	Frizzled-5	CGI_10017314	EKC27992
K1R2L4	K1R2L4_CRAGI	Histone H2B	CGI_10008062 CGI_10008068 CGI_10008073	EKC28016
K1Q9Z6	K1Q9Z6_CRAGI	26S proteasome non-ATPase regulatory subunit 7	CGI_10009677	EKC28114
K1PUX5	K1PUX5_CRAGI	Casein kinase II subunit alpha	CGI_10009680	EKC28117
K1Q2F8	K1Q2F8_CRAGI	Uncharacterized protein	CGI_10009681	EKC28118
K1QA19	K1QA19_CRAGI	Calmodulin-like protein 3	CGI_10015782	EKC28139
K1PUZ7	K1PUZ7_CRAGI	Uncharacterized protein (Fragment)	CGI_10015800	EKC28157
K1R2W8	K1R2W8_CRAGI	Uncharacterized protein	CGI_10014339	EKC28171
K1QA72	K1QA72_CRAGI	Double-strand-break repair protein rad21-like protein	CGI_10018385	EKC28194
K1Q2Q0	K1Q2Q0_CRAGI	Uncharacterized protein	CGI_10009086	EKC28218
K1PV92	K1PV92_CRAGI	Hsp90 co-chaperone Cdc37	CGI_10016304	EKC28277
K1QAG0	K1QAG0_CRAGI	Serine-threonine kinase receptor-associated protein	CGI_10016312	EKC28284
K1QHL4	K1QHL4_CRAGI	Uncharacterized protein	CGI_10011556	EKC28335
K1PVG9	K1PVG9_CRAGI	Malectin	CGI_10011576	EKC28352
K1Q358	K1Q358_CRAGI	60S acidic ribosomal protein P2	CGI_10011577	EKC28353
K1QHN9	K1QHN9_CRAGI	Golgi phosphoprotein 3	CGI_10003477	EKC28355
K1R3C6	K1R3C6_CRAGI	Low-density lipoprotein receptor-related protein 1B	CGI_10023746	EKC28366
K1QHT8	K1QHT8_CRAGI	RNA-binding protein 8A	CGI_10023785	EKC28400
K1PVR8	K1PVR8_CRAGI	Tyrosine-protein kinase (EC 2.7.10.2)	CGI_10027721	EKC28442
K1QB75	K1QB75_CRAGI	Uncharacterized protein	CGI_10027749	EKC28464
K1R3M6	K1R3M6_CRAGI	Ubiquitin-conjugating enzyme E2-22 kDa	CGI_10027757	EKC28471
K1PVV1	K1PVV1_CRAGI	LIM domain only protein 7	CGI_10027758	EKC28472
K1PVX0	K1PVX0_CRAGI	Protein ETHE1, mitochondrial	CGI_10027775	EKC28487
K1QI42	K1QI42_CRAGI	Metallothionein	CGI_10003519	EKC28510
K1Q3W3	K1Q3W3_CRAGI	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	CGI_10010919	EKC28543
K1QBK7	K1QBK7_CRAGI	Synaptosomal-associated protein 29	CGI_10010920	EKC28544
K1QBU4	K1QBU4_CRAGI	Uncharacterized protein	CGI_10003439	EKC28604
K1R435	K1R435_CRAGI	Splicing factor, arginine/serine-rich 4	CGI_10002568	EKC28616
K1QBW8	K1QBW8_CRAGI	Uncharacterized protein	CGI_10025157	EKC28639
K1Q486	K1Q486_CRAGI	Uncharacterized protein	CGI_10018932	EKC28678
K1QIL4	K1QIL4_CRAGI	Integrin alpha-4	CGI_10023513	EKC28745
K1R4E4	K1R4E4_CRAGI	MORN repeat-containing protein 5	CGI_10018065	EKC28771
K1PWQ2	K1PWQ2_CRAGI	60 kDa neurofilament protein	CGI_10018067	EKC28772
K1PWR0	K1PWR0_CRAGI	Protein SET	CGI_10018072	EKC28777
K1R4F2	K1R4F2_CRAGI	Uncharacterized protein	CGI_10018076	EKC28781
K1PWS2	K1PWS2_CRAGI	Alpha-aspartyl dipeptidase	CGI_10018083	EKC28787
K1QC87	K1QC87_CRAGI	von Willebrand factor D and EGF domain-containing protein	CGI_10018087	EKC28789
K1QIS5	K1QIS5_CRAGI	Heat shock 70 kDa protein 12A	CGI_10004822	EKC28800
K1QIU9	K1QIU9_CRAGI	Laminin subunit gamma-1	CGI_10019046	EKC28820
K1PWV7	K1PWV7_CRAGI	Uncharacterized protein	CGI_10019048	EKC28822
K1QCF0	K1QCF0_CRAGI	MTO1-like protein, mitochondrial	CGI_10019067	EKC28839
K1Q4N0	K1Q4N0_CRAGI	Protein LZIC	CGI_10019076	EKC28848
K1PWZ3	K1PWZ3_CRAGI	Guanine nucleotide-binding protein subunit beta	CGI_10019080	EKC28852
K1R4L8	K1R4L8_CRAGI	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial	CGI_10009222	EKC28876
K1R4M7	K1R4M7_CRAGI	Serine/threonine protein phosphatase 2A regulatory subunit	CGI_10020816	EKC28886
K1QJ88	K1QJ88_CRAGI	Signal transducing adapter molecule 2	CGI_10016438	EKC28935
K1P8X5	K1P8X5_CRAGI	Uncharacterized protein	CGI_10000031 CGI_10011849	EKC17933
K1QJE3	K1QJE3_CRAGI	Forkhead-associated domain-containing protein 1	CGI_10014985	EKC28985
K1Q5G4	K1Q5G4_CRAGI	Uncharacterized protein	CGI_10006803	EKC29118
K1R5D8	K1R5D8_CRAGI	Sarcoplasmic calcium-binding protein	CGI_10006806	EKC29121
K1Q5G7	K1Q5G7_CRAGI	Sarcoplasmic calcium-binding protein	CGI_10006808	EKC29123
K1QJT9	K1QJT9_CRAGI	Uncharacterized protein	CGI_10024254	EKC29135
K1R5G2	K1R5G2_CRAGI	Endonuclease VIII-like 1	CGI_10024283	EKC29161
K1R5G4	K1R5G4_CRAGI	60S ribosomal protein L31	CGI_10024289	EKC29166
K1Q5P7	K1Q5P7_CRAGI	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	CGI_10027458	EKC29243
K1PYB0	K1PYB0_CRAGI	Cofilin	CGI_10027462	EKC29247
K1Q5P9	K1Q5P9_CRAGI	Neuroendocrine convertase 2	CGI_10027463	EKC29248
K1QK84	K1QK84_CRAGI	Sarcoplasmic reticulum histidine-rich calcium-binding protein	CGI_10005207	EKC29280
K1R5P0	K1R5P0_CRAGI	Dynactin subunit 3	CGI_10005208	EKC29281
K1PYF0	K1PYF0_CRAGI	EF-hand calcium-binding domain-containing protein 6	CGI_10014601	EKC29292
K1Q5U2	K1Q5U2_CRAGI	U4/U6.U5 tri-snRNP-associated protein 2	CGI_10014602	EKC29293
K1QE20	K1QE20_CRAGI	Nucleoredoxin	CGI_10009812	EKC29329
