"Supplemental Table 4. ASCA time effect scores, clustering, and GO enrichment analysis results. ",,,,,,,,,,,,,
protein_ID,ASCA_PC1_loadings,ASCA_PC2_loadings,ASCA_PC_threshold_pass,ClusterColor,SimpleClusterColor,UniprotID,Protein_names,Protein_fams,Gene_names,GO_terms,GO_bp_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_BRAFLDRAFT_265162.3.3.m.64003,-0.003167461,0.021896918,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_265208.3.7.m.10791,0.010709507,0.006607297,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_265208.6.7.m.52336,0.004621572,0.003506951,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_265208.7.7.m.62510,0,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_265613.1.2.m.14785,0.001719091,-0.00094769,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_265991.1.1.m.58765,-0.001014833,0.006041604,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_266349.1.1.m.9217,-0.000608036,0.002687483,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_266781.1.2.m.24880,0.000229203,-0.000382382,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_266781.1.2.m.24881,0.003208731,-0.000811318,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_268308.1.1.m.17043,0.004897098,0.005783347,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_268354.1.1.m.57510,-0.018136419,0.023959188,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_268591.1.1.m.59744,-0.007482931,-0.00154495,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_268929.1.1.m.35239,0.001473061,-0.00045572,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_268929.1.1.m.35240,-0.001280446,-0.001123619,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_269194.1.1.m.53515,0.000375425,0.011492919,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_269209.1.1.m.4681,0.0050191,-0.001815229,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_270293.1.3.m.8709,-0.017516221,0.026734899,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_270300.1.1.m.59680,0.000339453,0.000340802,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_270517.1.1.m.27028,-0.01908471,-0.009094396,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_270672.1.1.m.25768,0.001529492,0.0115898,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_271463.1.1.m.62869,-0.0050504,0.002422427,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_272416.1.1.m.56641,0.000928306,-9.41E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_273508.1.4.m.5528,0.002057652,-0.001376693,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_273832.1.1.m.56325,-0.00089443,0.002883465,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_274539.3.3.m.49552,-0.029238832,-0.01460661,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_274974.1.1.m.56783,0.00343237,0.00178738,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_275083.2.2.m.66604,-0.003021915,2.08E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_275293.1.1.m.16192,-0.00114006,0.00083589,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_275517.1.1.m.9720,0.003305807,-0.015348527,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_275527.1.1.m.12579,0.0008974,0.000571115,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_275580.2.2.m.40924,-0.006647659,-0.027336055,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_275667.1.1.m.17353,-0.005417482,0.002198686,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_275724.1.1.m.54178,0.000124467,0.000591989,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_275787.1.2.m.15360,-0.001612323,0.005984632,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_275793.1.1.m.9519,-8.75E-05,0.011612567,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_275870.1.1.m.12895,-0.001172886,0.001965208,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_276131.1.1.m.46672,0.004650524,-0.003373204,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_276226.1.2.m.21725,0.009339705,-0.005406318,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_276226.2.2.m.64449,0.000127634,-0.000459153,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_276229.1.1.m.37508,-0.009038443,-0.010980909,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_276474.1.1.m.6793,-0.004321556,0.013740284,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_276592.1.1.m.8046,-0.004504629,-0.023725403,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_276662.1.1.m.52846,-0.003256263,0.001367803,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_276868.1.1.m.27780,-0.00086087,0.002110285,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_276908.1.1.m.28793,-0.001165369,0.002382973,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_277055.1.2.m.3095,-0.002971074,0.012964779,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_277055.2.2.m.18714,-0.018749285,-0.00333358,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_277091.1.3.m.1103,0.00048276,-0.020643997,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_277269.1.1.m.51636,0.003468607,0.009612291,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_277494.2.3.m.57496,0.001971918,-0.01853655,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_277494.3.3.m.62602,0.001125262,0.000252191,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_277528.1.1.m.10120,-0.002697875,-0.000570144,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_277744.1.2.m.5416,-0.007814397,-0.001627057,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_277775.1.1.m.12736,-0.00010392,0.001477837,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_277775.1.1.m.12737,0.004533227,-0.015795087,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_277797.1.1.m.26394,0.012474083,-0.003713882,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_277920.1.1.m.28845,-0.000983133,-0.017491006,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_278091.1.1.m.7340,-0.015808318,-0.00410786,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_278625.1.2.m.53120,0.002563796,0.006698474,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_278777.1.1.m.1970,0.007048537,-0.012796497,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_278832.1.1.m.13624,0.005311826,-0.023149198,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_278918.1.5.m.13792,0.004012858,0.00774985,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_278918.2.5.m.16457,-0.010225461,0.023079325,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_278918.3.5.m.38481,-0.019178975,0.001356076,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_278918.4.5.m.39356,0.024737469,-0.000452998,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_278918.5.5.m.48881,-0.033288642,-0.015343994,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_278938.1.1.m.38684,-0.00793245,-0.012259098,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_279143.1.1.m.50630,-0.00016587,0.022007016,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_279226.1.1.m.24471,-0.002377899,-9.73E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_279360.1.1.m.11115,-0.000217074,0.006116272,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_279625.1.1.m.51890,0.00497725,0.003135932,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_279668.1.1.m.21404,0.010015303,0.005397814,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_279789.3.3.m.48128,0.000393071,0.000456528,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_279923.1.1.m.65663,-0.000209685,0.0013201,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_279937.1.1.m.49979,0.008389167,0.003547641,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_279949.1.1.m.54415,-0.008754341,-0.005571241,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_279978.1.1.m.30960,-0.012141731,0.00522107,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_280249.1.1.m.26508,0.001254943,-0.002517734,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_280343.1.1.m.41317,-0.013809705,0.000574096,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_280861.1.2.m.5389,-0.002559119,0.001286381,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_281070.1.1.m.1319,0.001909643,-0.006904449,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_281217.1.1.m.15677,-0.00023078,0.004560788,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_281480.1.1.m.22697,-0.00815452,0.002874255,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_281490.1.1.m.53995,0.00331094,-0.000442688,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_281651.2.8.m.5909,-0.008205975,0.004678586,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_281658.1.1.m.6266,-0.002005395,0.003783266,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_281754.1.1.m.27604,-0.001894869,-0.000355585,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_282065.1.2.m.590,0.008019216,0.004311676,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_282105.1.2.m.43460,0.008339351,0.001886266,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_282135.1.1.m.55919,-0.005845285,-0.00142406,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_282200.1.1.m.18115,-0.001089837,-0.026009115,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_282752.2.2.m.17526,0.004925973,0.005817447,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_283093.1.1.m.15039,-0.022565445,0.020793308,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_283789.1.1.m.40987,-0.00267034,-0.001881413,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_283981.1.1.m.7732,-0.012940362,0.020692645,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_284130.1.1.m.27065,-0.007234715,0.002782747,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_284242.1.1.m.13711,0.000160058,0.004317585,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_284412.1.1.m.37396,0,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_284587.1.3.m.284,0.000494958,4.90E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_284587.2.3.m.15867,-0.00133396,0.006131896,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_284587.3.3.m.26954,0.005691073,-0.000190322,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_284774.2.3.m.15260,-0.004912481,-0.0083647,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_284784.1.1.m.12397,-0.004116504,0.00558847,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_284846.2.2.m.60100,-0.004188713,-0.000750057,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_284971.1.1.m.8607,-0.006464814,-0.013126469,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_284971.1.1.m.8608,-0.006538538,0.002401742,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_285193.1.1.m.63396,-0.003030755,-0.007015872,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_285264.1.1.m.52913,-0.002034524,0.00466746,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_285738.1.1.m.21025,0.002678439,-0.001740103,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_285971.1.1.m.18286,-0.00062656,0.005581835,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_286243.1.1.m.11085,0.007411859,-0.000614225,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_287019.1.1.m.36911,-0.003112889,0.002295568,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_287353.1.1.m.46293,0.002087777,-0.000581696,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_287356.1.1.m.25008,-0.022319084,-0.010884634,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_287444.3.5.m.17688,-0.000218272,-0.0089704,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_287716.1.1.m.51443,-0.009331452,-0.009476964,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_287844.1.1.m.63253,-0.021425451,-0.019138607,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_290492.1.1.m.21887,0.003485807,-0.000941965,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_291364.1.1.m.47990,-0.013286517,-0.008455507,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_57028.1.1.m.55583,-0.00298129,0.001442718,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_57175.1.1.m.7616,0.007819461,0.008601686,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_57176.3.5.m.23440,-0.001941214,0.003059881,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_57176.5.5.m.54727,-0.000811787,-0.00010372,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_57258.1.3.m.43523,0.002639337,-0.001508146,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_57258.2.3.m.48328,0.002598261,0.006284005,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_57395.1.1.m.9938,-0.000234029,-0.002055263,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_57407.1.1.m.28838,-0.020867881,0.020778432,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_57459.1.1.m.61613,-0.016991673,0.000395336,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_57552.1.1.m.8199,-0.003284711,0.019784674,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_57788.3.10.m.31620,-0.008083573,-0.024365742,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_57788.6.10.m.45495,0.004970057,0.00586951,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_57788.8.10.m.49717,0.008944579,-0.016238728,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_58035.2.2.m.65814,0.01471609,0.006049674,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_58194.1.1.m.27050,0.003548388,0.000795399,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_58684.1.1.m.13006,-0.001312918,0.004905733,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_59014.1.1.m.59709,-0.005302939,0.001599245,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_59154.3.3.m.53255,-0.00630266,-0.015488216,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_59647.1.1.m.25700,0.003339613,-0.011267095,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_59863.1.1.m.24545,-0.004076508,-0.001921076,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_60200.1.3.m.22201,0.004408846,-0.001191396,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_60200.1.3.m.22202,1.79E-05,0.004266715,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_60200.2.3.m.33251,0.006680366,0.008362507,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_60329.1.1.m.18239,0.001179043,0.000484073,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_60331.1.1.m.34512,-0.021118421,0.01911888,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_61250.5.14.m.37733,-0.003432864,-0.016343959,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_61250.8.14.m.44214,-0.006498027,-0.006834867,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_61507.1.1.m.52347,-0.003764825,-0.026783832,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_61845.1.1.m.37831,-0.003075359,-0.001432001,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_62156.1.1.m.47958,0.002983684,0.008395783,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_63199.1.5.m.9045,0.000197727,-0.000691794,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_63199.2.5.m.21288,0.003343571,-0.008677335,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_63281.1.2.m.28725,0.002503378,-0.008335707,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_63281.2.2.m.46528,-0.003611101,0.004886038,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_63397.6.8.m.48804,0.004291531,-0.001354258,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_63459.2.3.m.27933,-0.027100333,-0.006320761,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_63652.1.1.m.8021,0.003527355,0.011882628,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_63676.1.1.m.37146,0.004207087,0.004968462,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_63907.1.1.m.14584,-4.57E-05,0.002195044,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_64071.9.35.m.13313,-4.37E-05,0.0057965,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_64737.1.1.m.40499,-0.001915806,0.017615836,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_64948.1.1.m.17321,-0.007737497,0.019567341,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_64962.1.1.m.59737,0.002138213,0.002968056,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_65137.1.1.m.64534,-0.003917957,0.005318928,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_65518.1.1.m.29803,0.004171743,0.012265346,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_65562.1.1.m.14267,0.000759041,0.011548893,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_65681.1.1.m.445,-0.002515402,0.003414851,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_65711.1.1.m.18159,0.013838517,-0.010524875,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_65861.1.1.m.24624,-0.01779567,0.023396304,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_65994.1.1.m.40535,0.004522044,0.005340418,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_66204.1.3.m.2589,0.006766565,0.020161478,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_66627.1.1.m.40620,0.00172869,0.001599795,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_66688.1.2.m.2447,0.001810657,0.006540676,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_66688.2.2.m.10883,-0.01592715,-0.003403194,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_66705.1.1.m.47148,-0.009893619,-0.006296275,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_67258.9.18.m.34120,-0.020271177,-0.010849946,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_67264.4.6.m.42082,-0.005275226,-0.001514876,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_67459.2.2.m.56116,-0.001117957,-0.003879751,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_67483.1.1.m.55096,0.004908313,0.002038274,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_67520.1.2.m.16093,0.007016975,-0.001046439,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_67520.2.2.m.34594,-0.015641617,0.009305701,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_67662.1.1.m.3006,-0.020342914,-0.003291407,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_67696.3.3.m.54584,-0.011172566,-0.007110193,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_67741.2.2.m.37743,0.003846181,0.004542241,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_67911.1.1.m.4174,-0.003563801,0.004838133,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_67999.1.1.m.44535,0.009625276,-0.011681596,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_68004.1.1.m.24323,0.001873636,0.000919401,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
